matrix_file	matrix_name	n_matrix_taxa	lookup_type	lookup_source_path	lookup_source_label	n_lookup_taxa	n_matched_taxa	prop_matched_taxa	n_matched_with_genus	prop_matched_with_genus	n_matched_with_family	prop_matched_with_family	n_unique_genera_matched	n_unique_families_matched	example_unmatched_taxa
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_common_top200.tsv	depth_natural_clr_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	149	0.745	179	0.895	70	70	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_top200.tsv	depth_natural_clr_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	149	0.745	179	0.895	70	70	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	149	0.745	179	0.895	70	70	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_relative_common_top200.tsv	depth_natural_relative_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	149	0.745	179	0.895	70	70	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_common_top200.tsv	interior_depth_clr_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	7097	200	1	166	0.83	195	0.975	75	65	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_top200.tsv	interior_depth_clr_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	7097	200	1	166	0.83	195	0.975	75	65	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_counts_common_top200.tsv	interior_depth_counts_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	7097	200	1	166	0.83	195	0.975	75	65	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_relative_common_top200.tsv	interior_depth_relative_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	7097	200	1	166	0.83	195	0.975	75	65	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_common_top200.tsv	interior_impaired_clr_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	147	0.735	175	0.875	64	68	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_top200.tsv	interior_impaired_clr_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	147	0.735	175	0.875	64	68	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_counts_common_top200.tsv	interior_impaired_counts_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	147	0.735	175	0.875	64	68	
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_relative_common_top200.tsv	interior_impaired_relative_common_top200.tsv	200	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	2644	200	1	147	0.735	175	0.875	64	68	
