matrix_file	matrix_name	n_taxon_columns	example_taxa
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_common_top200.tsv	depth_natural_clr_common_top200.tsv	200	EU652571.1.1503;KX097089.1.1528;EU488457.1.1483;HQ727627.1.1522;AM176885.1.1418;KJ817533.1.1498;AM745219.1.1602;FJ712534.1.1514
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_top200.tsv	depth_natural_clr_top200.tsv	200	EU652571.1.1503;KX097089.1.1528;EU488457.1.1483;HQ727627.1.1522;AM176885.1.1418;KJ817533.1.1498;AM745219.1.1602;FJ712534.1.1514
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	200	EU652571.1.1503;KX097089.1.1528;EU488457.1.1483;HQ727627.1.1522;AM176885.1.1418;KJ817533.1.1498;AM745219.1.1602;FJ712534.1.1514
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_relative_common_top200.tsv	depth_natural_relative_common_top200.tsv	200	EU652571.1.1503;KX097089.1.1528;EU488457.1.1483;HQ727627.1.1522;AM176885.1.1418;KJ817533.1.1498;AM745219.1.1602;FJ712534.1.1514
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_common_top200.tsv	interior_depth_clr_common_top200.tsv	200	ASV_1;ASV_2;ASV_3;ASV_4;ASV_6;ASV_7;ASV_8;ASV_9
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_top200.tsv	interior_depth_clr_top200.tsv	200	ASV_1;ASV_2;ASV_3;ASV_4;ASV_6;ASV_7;ASV_8;ASV_9
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_counts_common_top200.tsv	interior_depth_counts_common_top200.tsv	200	ASV_1;ASV_2;ASV_3;ASV_4;ASV_6;ASV_7;ASV_8;ASV_9
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_relative_common_top200.tsv	interior_depth_relative_common_top200.tsv	200	ASV_1;ASV_2;ASV_3;ASV_4;ASV_6;ASV_7;ASV_8;ASV_9
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_common_top200.tsv	interior_impaired_clr_common_top200.tsv	200	EU652571.1.1503;HE804013.1.1479;AM745219.1.1602;KT907947.1.912;GU180188.1.1514;JQ580309.1.1482;MG601401.1.1536;KT167015.1.1381
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_top200.tsv	interior_impaired_clr_top200.tsv	200	EU652571.1.1503;HE804013.1.1479;AM745219.1.1602;KT907947.1.912;GU180188.1.1514;JQ580309.1.1482;MG601401.1.1536;KT167015.1.1381
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_counts_common_top200.tsv	interior_impaired_counts_common_top200.tsv	200	EU652571.1.1503;HE804013.1.1479;AM745219.1.1602;KT907947.1.912;GU180188.1.1514;JQ580309.1.1482;MG601401.1.1536;KT167015.1.1381
/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_relative_common_top200.tsv	interior_impaired_relative_common_top200.tsv	200	EU652571.1.1503;HE804013.1.1479;AM745219.1.1602;KT907947.1.912;GU180188.1.1514;JQ580309.1.1482;MG601401.1.1536;KT167015.1.1381
