matrix_name	matrix_file	recommendation	genus_network_feasible	prop_matched_with_genus	n_unique_genera_matched	family_network_feasible	prop_matched_with_family	n_unique_families_matched	lookup_type	lookup_source_path	lookup_source_label	example_unmatched_taxa
depth_natural_clr_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.745	70	TRUE	0.895	70	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
depth_natural_clr_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_clr_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.745	70	TRUE	0.895	70	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.745	70	TRUE	0.895	70	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
depth_natural_relative_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_relative_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.745	70	TRUE	0.895	70	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
interior_depth_clr_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_common_top200.tsv	OK_for_genus_level_sensitivity	TRUE	0.83	75	TRUE	0.975	65	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	
interior_depth_clr_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_clr_top200.tsv	OK_for_genus_level_sensitivity	TRUE	0.83	75	TRUE	0.975	65	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	
interior_depth_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_counts_common_top200.tsv	OK_for_genus_level_sensitivity	TRUE	0.83	75	TRUE	0.975	65	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	
interior_depth_relative_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_depth_relative_common_top200.tsv	OK_for_genus_level_sensitivity	TRUE	0.83	75	TRUE	0.975	65	phyloseq	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	phyloseq.rds	
interior_impaired_clr_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.735	64	TRUE	0.875	68	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
interior_impaired_clr_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_clr_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.735	64	TRUE	0.875	68	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
interior_impaired_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_counts_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.735	64	TRUE	0.875	68	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
interior_impaired_relative_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/interior_impaired_relative_common_top200.tsv	Genus_incomplete_but_family_level_possible	FALSE	0.735	64	TRUE	0.875	68	phyloseq	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	
