dataset	count_matrix	matrix_file	matrix_name	lookup_source_path	lookup_source_label	matrix_taxon	matrix_taxon_clean	source_path	source_label	phylum	class	order	family	genus	species	genus_clean	family_clean	genus_missing	family_missing	lookup_type	taxon_id_clean	species_clean	match_mode	taxon_id
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB300128.1.1329	AB300128.1.1329	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Chloroflexi	Dehalococcoidia	t0.6.f	t0.6.f	t0.6.f	uncultured_bacterium	t0.6.f	t0.6.f	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	AB300128.1.1329
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB364850.1.1498	AB364850.1.1498	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4	uncultured_bacterium	SG8-4	SG8-4	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	AB364850.1.1498
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB622941.1.1314	AB622941.1.1314	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	NA	Pseudolabrys	Xanthobacteraceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AB622941.1.1314
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB694385.1.1409	AB694385.1.1409	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	NA	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AB694385.1.1409
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB806698.1.1488	AB806698.1.1488	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA	Desulfatiglans	Desulfatiglandaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AB806698.1.1488
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB806704.1.1485	AB806704.1.1485	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081_sediment_group	uncultured_Desulfobacteraceae	Sva0081_sediment_group	Desulfosarcinaceae	FALSE	FALSE	phyloseq	NA	uncultured_Desulfobacteraceae	clean_taxon_id	AB806704.1.1485
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB806727.1.1479	AB806727.1.1479	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_deep-sea	NB1-j	NB1-j	FALSE	FALSE	phyloseq	NA	uncultured_deep-sea	clean_taxon_id	AB806727.1.1479
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AB806729.1.1479	AB806729.1.1479	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_bacterium	NB1-j	NB1-j	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	AB806729.1.1479
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AM039960.1.1519	AM039960.1.1519	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081_sediment_group	NA	Sva0081_sediment_group	Desulfosarcinaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AM039960.1.1519
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AM745219.1.1602	AM745219.1.1602	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	NA	SEEP-SRB1	Desulfosarcinaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AM745219.1.1602
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AM882560.1.1458	AM882560.1.1458	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_Thiobios	uncultured_gamma	Candidatus_Thiobios	Chromatiaceae	FALSE	FALSE	phyloseq	NA	uncultured_gamma	clean_taxon_id	AM882560.1.1458
