dataset	group_a	group_b	contrast	metric	median_delta	mean_delta	q025_delta	q975_delta	p_boot_two_sided	n_boot
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	average_degree	0	0	0	0	1	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	largest_component_prop	-0.17142857142857143	-0.17454285714285714	-0.38571428571428573	0.0074999999999996484	0.096	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	modularity_louvain	0.12631389365591217	0.12267197898645399	-0.03935810444039472	0.27278940793272344	0.124	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	natural_connectivity	0.11285725608632946	0.14562023680931888	-0.17019893543027015	0.6787345437063255	0.508	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	transitivity	0.2703977986586682	0.28484455355613997	0.015369966791199669	0.6331704140967431	0.024	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	prop_positive	0.125	0.13533333333333333	-0.04166666666666674	0.3651041666666662	0.216	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	robustness_auc_random	-0.05571428571428574	-0.055675	-0.1343214285714286	0.02394642857142855	0.2	500
depth_natural	Coastal_natural	Interior_relict	Coastal_natural minus Interior_relict	robustness_auc_targeted	-0.010000000000000002	-0.009745	-0.027500000000000004	0.009473214285714276	0.308	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	average_degree	0	0	0	0	1	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	largest_component_prop	-0.109375	-0.11675	-0.3125	0.0625	0.252	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	modularity_louvain	-0.009987733017929934	-0.018839106215709923	-0.30502939435434806	0.20399317998457484	0.896	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	natural_connectivity	0.2896190140233228	0.4017321210831831	-0.14838244235402706	1.7058165888685926	0.228	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	transitivity	0.2512349060263658	0.25307152915073183	-0.014871524448705632	0.5798642359966977	0.064	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	prop_positive	-0.025000000000000022	-0.027950000000000003	-0.22500000000000003	0.17500000000000004	0.84	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	robustness_auc_random	-0.03378906250000001	-0.03294375	-0.11837890625000001	0.05918945312499999	0.504	500
interior_impaired	Coastal_impaired	Interior_relict	Coastal_impaired minus Interior_relict	robustness_auc_targeted	-0.005859375	-0.005664062500000001	-0.0234375	0.010546875000000004	0.528	500
