dataset	dataset_label	group	group_label	bootstrap_id	metric	value	metric_label
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	1	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	1	natural_connectivity	0.8062147202349399	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	1	robustness_auc_random	0.12	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	1	robustness_auc_targeted	0.04071428571428572	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	1	transitivity	0.2121212121212121	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	1	largest_component_prop	0.2571428571428571	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	1	natural_connectivity	1.1445550900529249	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	1	robustness_auc_random	0.105	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	1	robustness_auc_targeted	0.0325	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	1	transitivity	0.528	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	2	largest_component_prop	0.45714285714285713	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	2	natural_connectivity	1.1026317502389178	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	2	robustness_auc_random	0.11321428571428573	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	2	robustness_auc_targeted	0.05035714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	2	transitivity	0.22929936305732485	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	2	largest_component_prop	0.45714285714285713	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	2	natural_connectivity	0.8707399691441848	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	2	robustness_auc_random	0.16785714285714287	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	2	robustness_auc_targeted	0.05321428571428572	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	2	transitivity	0.2912621359223301	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	3	largest_component_prop	0.4857142857142857	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	3	natural_connectivity	0.912479541475082	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	3	robustness_auc_random	0.18107142857142855	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	3	robustness_auc_targeted	0.04535714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	3	transitivity	0.16030534351145037	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	3	largest_component_prop	0.4714285714285714	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	3	natural_connectivity	0.8250146775488951	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	3	robustness_auc_random	0.11214285714285714	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	3	robustness_auc_targeted	0.05642857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	3	transitivity	0.2608695652173913	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	4	largest_component_prop	0.5142857142857142	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	4	natural_connectivity	0.898028947208481	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	4	robustness_auc_random	0.20321428571428576	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	4	robustness_auc_targeted	0.04392857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	4	transitivity	0.10869565217391304	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	4	largest_component_prop	0.3857142857142858	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	4	natural_connectivity	1.3527697458947363	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	4	robustness_auc_random	0.2017857142857143	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	4	robustness_auc_targeted	0.035	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	4	transitivity	0.3791208791208791	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	5	largest_component_prop	0.37142857142857144	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	5	natural_connectivity	0.8089980415981035	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	5	robustness_auc_random	0.12607142857142858	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	5	robustness_auc_targeted	0.03392857142857142	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	5	transitivity	0.17142857142857143	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	5	largest_component_prop	0.34285714285714286	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	5	natural_connectivity	1.0848914503358116	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	5	robustness_auc_random	0.13535714285714287	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	5	robustness_auc_targeted	0.03392857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	5	transitivity	0.3445945945945946	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	6	largest_component_prop	0.45714285714285713	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	6	natural_connectivity	0.790936175476117	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	6	robustness_auc_random	0.18571428571428572	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	6	robustness_auc_targeted	0.04535714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	6	transitivity	0.15625	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	6	largest_component_prop	0.35714285714285715	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	6	natural_connectivity	0.961804987469944	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	6	robustness_auc_random	0.15214285714285716	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	6	robustness_auc_targeted	0.045	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	6	transitivity	0.3818181818181818	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	7	largest_component_prop	0.4714285714285714	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	7	natural_connectivity	1.0308791290784791	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	7	robustness_auc_random	0.1635714285714286	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	7	robustness_auc_targeted	0.04857142857142857	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	7	transitivity	0.2307692307692308	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	7	largest_component_prop	0.35714285714285715	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	7	natural_connectivity	1.376278927798992	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	7	robustness_auc_random	0.14	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	7	robustness_auc_targeted	0.04928571428571429	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	7	transitivity	0.4615384615384616	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	natural_connectivity	0.9503863446142072	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	robustness_auc_random	0.16892857142857143	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	robustness_auc_targeted	0.05571428571428571	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	transitivity	0.15217391304347827	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	largest_component_prop	0.3142857142857143	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	natural_connectivity	0.8185626580267757	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	robustness_auc_random	0.13785714285714287	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	robustness_auc_targeted	0.0425	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	transitivity	0.2727272727272727	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	largest_component_prop	0.4428571428571429	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	natural_connectivity	0.9423804845289444	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	robustness_auc_random	0.125	Robustness AUC
random removal
