SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	Nitrosopumilaceae	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	NB1-j	Spirochaeta	SAR324_clade_Marine_group_B_	Calditrichaceae	SEEP-SRB1	Lokiarchaeia	bacteriap25	Bathyarchaeia	SBR1031	Desulfobacca	MBNT15	Woeseia	Marine_Benthic_Group_D_and_DHVEG-1	BD7-8	Candidatus_Thiobios	Bauldia	GIF3	Bacteroidetes_BD2-2	Candidatus_Tenderia	SG8-4	Latescibacteraceae	Subgroup_22	Zixibacteria	SAR202_clade	Dehalococcoidia	Pelagibius	Desulfatitalea	Pseudolabrys	Ignavibacterium	Amphiplicatus	t0.6.f	661239	Thiohalobacter	Kineosporia	Vicinamibacteraceae	Sva0485	vadinBA26	Subgroup_23	PHOS-HE36	B2M28	Calorithrix	Entotheonellaceae	Urania-1B-19_marine_sediment_group	MND1	Marine_Group_III	Desulfosarcina	BD7-11	JTB23	SB-5	CI75cm.2.12	Latescibacterota	67-14	CCM11a	Sediminispirochaeta	Oricola	BD1-7_clade	KI89A_clade	Brevundimonas	RCP2-54	Aminicenantales	Luteitalea	Rhodomicrobium	FW22	VHS-B3-70
S1A015	7037	5951	6123	3724	1305	1312	1756	1231	767	453	281	633	1202	535	0	0	115	354	298	734	551	287	289	12	81	144	96	1263	255	505	1326	0	91	225	235	530	52	20	234	84	87	9	45	66	8	176	10	0	103	23	0	6	29	8	99	129	144	3	37	88	48	12	30	14	38	26	0	21	133	17
S1A1530	6950	5135	5720	3166	2559	1624	2194	1061	747	483	670	2103	605	758	198	45	88	415	344	1727	1848	259	339	38	395	261	152	453	520	380	503	76	215	487	342	1087	54	417	86	273	88	408	104	41	617	377	64	12	12	369	39	3	72	62	257	44	94	22	85	70	124	65	26	14	44	41	34	24	42	8
S1A3050	5905	3439	4287	1998	2781	1481	1909	914	521	348	255	784	804	994	33	36	44	246	246	1128	255	108	147	86	188	233	158	344	503	384	230	189	167	99	184	237	84	499	194	474	70	160	76	45	200	47	111	34	17	151	36	4	66	68	118	49	47	44	109	31	160	27	23	4	13	19	6	20	46	15
S1A5075	6236	5176	3710	2752	2410	1790	1676	788	694	208	608	835	729	1216	123	88	81	358	250	1038	326	226	202	133	342	177	177	212	484	323	195	347	244	172	343	544	112	518	57	720	49	172	142	45	403	31	232	83	23	176	37	5	89	31	168	64	61	65	58	8	55	20	20	0	15	18	10	12	30	18
S1B07	12932	12881	7784	8606	2333	1358	1069	2756	2039	384	809	475	1588	188	53	61	194	912	314	494	741	576	424	105	327	260	170	437	246	259	21	11	291	319	31	84	10	59	153	205	207	63	79	197	83	95	124	27	39	13	43	0	75	95	24	69	16	39	68	19	0	9	88	32	17	82	5	73	80	48
S1B2230	8603	5620	5198	3988	3115	2124	1550	1816	1716	1132	1211	1088	518	1401	1469	1223	1507	472	685	56	393	354	592	679	166	94	264	61	112	106	327	449	434	189	177	95	382	154	17	80	128	153	105	66	128	0	68	177	76	100	68	62	25	629	98	100	66	73	58	84	104	55	31	10	28	45	84	26	8	27
S1B3040	8222	6613	4356	4444	1876	1052	1339	1595	1257	2935	715	50	217	443	935	942	2185	455	953	28	395	352	192	339	104	42	163	2	111	105	261	125	58	169	42	3	248	4	20	0	143	82	86	76	28	0	47	154	5	5	6	135	19	25	0	15	14	40	26	117	17	20	27	11	65	22	72	44	3	24
S1B6575	6772	4012	4146	2699	2662	1495	2161	1208	839	2325	674	181	698	757	1757	1747	2558	340	1330	42	259	293	631	356	158	91	184	35	113	181	266	454	135	76	365	19	560	55	13	27	95	55	97	36	73	9	29	144	34	28	15	228	27	26	20	58	23	68	53	108	56	18	41	2	19	20	60	9	13	10
S2A1727	5569	3291	4444	2190	2649	1345	1502	1144	523	1415	1618	929	480	1920	1445	1212	1139	252	714	51	269	242	424	568	390	68	250	57	55	107	190	699	298	66	253	5	136	116	13	14	114	191	75	39	167	0	111	84	38	85	231	118	38	5	45	99	67	60	58	68	11	57	27	2	54	14	97	13	0	17
S2A3545	9047	7310	5298	5334	1500	1458	1448	1920	1414	1066	757	425	249	640	651	906	562	509	257	60	433	474	556	346	100	53	183	346	152	187	295	100	95	200	264	22	112	42	154	19	156	39	111	163	29	57	37	55	46	88	61	107	59	35	17	123	37	27	70	52	46	48	30	10	22	43	54	47	48	32
