SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	NB1-j	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	Spirochaeta	Lokiarchaeia	Calditrichaceae	SAR324_clade_Marine_group_B_	SEEP-SRB1	Bathyarchaeia	bacteriap25	SBR1031	MBNT15	Desulfobacca	Bacteroidetes_BD2-2	B2M28	Woeseia	BD7-8	Marine_Benthic_Group_D_and_DHVEG-1	Pelagibius	Bauldia	Calorithrix	Zixibacteria	Candidatus_Tenderia	S085	SB-5	MND1	Dehalococcoidia	Subgroup_18	Desulfatitalea	Pseudolabrys	GIF3	Subgroup_22	SAR202_clade	AT-s3-44	Ignavibacterium	t0.6.f	661239	Thiohalobacter	Vicinamibacteraceae	Sva0485	SG8-4	Subgroup_23	vadinBA26	Candidatus_Thiobios	Sediminispirochaeta	Urania-1B-19_marine_sediment_group	Entotheonellaceae	MBMPE27	KI89A_clade	SPG12-461-471-B8	JTB23	Caldithrix	Aminicenantales	Methyloceanibacter	OM190	Haliangium	RCP2-54	UASB-TL25	Latescibacterota	Pla3_lineage	MD2902-B12
S1A015	4.27603634464086	4.126070677054931	4.33117617233322	2.9345646414941235	2.57504114364316	2.405318178685527	2.550982244635467	1.5053258285444917	1.164687883515576	1.8231495060876322	1.215331616334331	1.479593414578014	2.5271618165166805	-4.565411899457998	0.3545690263701271	-4.565411899457998	1.5122303438910363	-2.1675166266596273	1.306705890017418	2.0344585997548386	0.9193850340326568	0.5644868154650755	0.5525819129587575	1.6371236177299249	1.187160739367635	-0.15869265219374462	-2.0805052496699976	-0.47106733723589755	-1.3073153614365158	2.625264134874209	0.3173900231283726	-0.0436233224089575	0.8551230998142882	0.9875476854636194	0.21371159365353165	1.628993491646674	-1.6750401415618335	0.8984199055676125	-0.595119985905876	-1.520889461734575	0.894173614686161	-1.474369446099682	-4.565411899457998	1.6207967244424957	-0.36071928006703224	-0.7367705029689029	1.8010585482734403	-4.565411899457998	0.07897899968337452	-4.565411899457998	-1.0100638379685845	-2.1675166266596273	-1.6750401415618335	-2.3681873221217784	-1.5696796259040071	-1.0689043379915177	-2.0004625419964612	-1.3465360745897974	-1.6209729202915577	-0.9018502533283517	-0.5764278528937234	-1.3465360745897974	-1.6750401415618335	-0.15869265219374462
S1A1530	3.6576295175294504	3.266413947869374	3.6660208084091703	2.3649082367324787	2.3900101940845673	1.9376240812296741	1.690293304301461	2.3071571801117754	0.9646073679547422	1.0395487892468607	1.3276820234477782	1.5467577725426631	1.129264088568891	0.015688927224069005	-0.2940092757920869	-1.4489745010113282	1.3713686525243531	-0.3649610117643709	0.75306936276084	2.1771040518635774	0.9369922009217682	-0.046507280645836424	-0.02012052547264176	0.8982513726053378	-0.8002790830222164	0.7037983137540573	0.38186631825919815	0.7626388137769906	0.8271773349145617	0.9449603705709455	-0.07360921042362811	0.09766251018374206	0.9126995083527243	-0.43342881104183206	1.2677337628339966	0.4938252256295925	-0.4024185742992721	0.5601145496655162	-1.270282712267952	0.7578655350243331	-0.8117077788458396	0.5275190714160649	-4.179003608832313	1.3816780221832143	-1.5399462792170548	-0.6236555473429002	-1.0435093929031636	-1.9817790314960941	-2.7126665400388865	-2.7126665400388865	-1.4489745010113282	0.32080606149795177	-1.781108336033943	-1.1344811711088907	-2.1421216815712736	-1.9817790314960941	-3.33170574844511	0.16912147416588663	-2.3872441396042587	-1.4709534077301036	-2.505027175260642	-2.0587400726322227	-0.9081680450334018	-1.6400297377740376
S1A3050	3.77631016853592	3.2551313478067403	3.6588507470048803	2.6267043579279656	2.704774885284113	2.114970056225757	1.9308286627148163	1.8260751273487674	1.0547039725659966	1.0307984517124416	1.6398625150618455	2.104919720372256	1.802746874857859	-1.361734877944543	-0.8105579586549849	-1.2771774899164803	1.7699156433100436	0.7643937777079461	0.6212929340672728	2.140992161588957	0.995226985927574	0.732305463156445	-0.5313865758711129	0.1808087996595269	-0.25336641433106877	0.35365161249893795	0.10911687120341007	0.6531681425977212	1.0907903623404174	0.5543223079610886	0.1225398915355509	0.23586857684255413	-0.2829252165726128	-0.44544414607038796	0.09551121914763172	0.8289322988455172	-0.005293479974334048	0.3322604225176198	-0.44544414607038796	1.3265126958614868	0.3849041560030422	0.2880543300131242	-4.888095402560705	0.06773165504055623	-1.0594540060716096	-0.5442899807070205	-1.0168943916528135	-2.1800452014584946	-1.99772364466454	-1.3327473410712911	-1.9436564233942644	0.6413336849507187	-3.0963359333326497	-0.653988897963445	-2.323146045099168	-1.6299988645392225	-2.490200129762334	-1.1039057686424436	-1.7970529492023886	-2.249038072945446	-3.7894831138925946	-2.4031887527727043	-1.1745233358563967	-0.7292123192010331
S1A5075	3.7627558436420516	3.5044263941859954	3.4404157100234274	2.345092898005717	2.348166985886139	2.2094480843761666	1.6232116981299676	1.8276774645606704	0.6792931248712906	1.3240572245159505	1.3068154180814444	2.1453795984998933	1.5454899114265306	-0.2272730571108692	-0.20336753625731507	-0.5589182529837666	1.136594268221577	1.0185534673878411	0.8357677657723723	1.898459368383321	0.9414067941739575	1.0639127167867724	0.052311805108292475	1.838977019814604	-0.38411552860383935	0.7901758244500332	0.4658741234490762	0.5054049622057111	0.6727571538915056	0.23056003651461054	-0.6408353754516529	0.45370358782882114	0.10573697178187302	-0.5589182529837666	0.008691182632401429	0.5978922749273314	0.1941923923437363	0.7930870346574919	-0.32016680400356545	1.2043492604499821	-0.9871116121694872	-0.030274785900981982	-2.339504421613696	0.37739539476549666	-1.2189132262268112	-0.0847099924559993	-1.0585705761516317	-2.1571828648197418	-1.8695007923679605	-0.6167378238725929	-1.7517177567115771	-0.05034234895179157	-3.101644473660593	-1.5818187199161797	-2.7449695297218604	-1.4922065612264928	-3.4381167102818058	-1.4099684629895206	-1.436636710071682	-2.274965900476125	-5.047554622715906	-2.562647972927906	-1.3098850044325379	-1.7894580846944241
S1B07	4.529749945333359	4.50597034820076	4.106889104846562	2.621552048490001	2.546775640255163	2.53570132995607	2.9642824921177215	1.8645814717144154	0.826209263423662	2.4953664105593845	1.8108772927425543	0.25731983870291053	2.413244247630641	-0.9686318723418008	0.6555121874819951	-0.8304815338609837	0.587561525573487	-0.8144811925145428	1.8591199616888927	1.246941843662615	0.9088521380272212	0.7293594374337449	1.238828208888445	-1.5564185372439199	0.8200364043165811	0.8353976894780688	-0.9322642281709257	-0.42501642575281906	-1.9130934811826523	-1.8665734655477593	-0.023141985775383844	0.7191378833622064	0.8107050768876967	0.595343666015542	0.3356889058184169	0.5436422916386521	-0.8632713566839749	-1.4918800161063488	-2.5597206461077047	-0.8632713566839749	0.07933668350755418	-0.24808571759374143	-4.957615918906075	-0.4578062485758103	0.33065111178845985	-0.5755892842321941	-1.346698006261851	-0.9686318723418008	-1.268736464792139	-1.6254114087308715	-0.5631667642336362	-1.7387400940378748	-1.8665734655477593	-0.39326772743823923	-1.9618836453520845	-0.6401278053697652	-1.0455929134779294	-2.2495657178038653	-1.2440438522017674	-2.067244161009911	-1.0063722003246478	-1.0257902861817496	-2.013176939739635	-1.4022678574166618
S1B2230	3.6372217382502114	3.0563577125443064	3.1149186096016273	1.8522069881040322	2.2177393858768255	1.9407000663574836	1.9270349179384025	1.5813847543397959	1.5585760581324788	1.7916935700686407	1.4945147500796025	1.7432814062817092	0.6739967327081198	1.7151105293150133	1.7796490504525844	1.5319723126145028	0.8614432206423297	1.0554112828226083	0.581188238034164	-1.5348558826232184	1.0852255455330342	0.7937046967740882	-0.22132087578575632	0.24217577989459294	-0.8865592682286252	-0.4599133380410132	0.351681992932126	-0.2548971713193602	-0.26963945305656356	0.2151064579263755	-2.176709768795613	0.49743888063091557	-0.3308830782972825	0.10906820588205157	-0.490310815225385	-0.952934337173498	-0.6291472600796002	-0.3961236001656836	0.370127838722877	-0.5344820335385219	-2.687535392561604	-0.4965027854733055	0.22118550400275705	-0.8072225259921035	-1.373214531066803	-0.9144680563457017	-0.6080938508817679	0.6623686947130007	-1.2341017286040845	-0.3961236001656836	-1.5889231038934941	-1.0670476439409189	-1.089270780725629	0.8678126689278098	-0.6800673505068575	-1.8643350837534607	-0.4304126736443159	-1.646081517733443	-1.8167070347642063	-2.2106113204712945	-2.7446938064015525	-2.112171247658042	-1.6860868523471422	-2.9388498208425102
S1B3040	4.211491428381944	3.930141730867831	3.5831822790488808	2.639789617396935	2.51407687289021	2.3170685523885464	2.5084536153358483	1.0276006715909443	2.8179817808488785	2.1243747244473035	1.9039872612350734	1.2379910697410788	0.5176929001151827	1.9748133138036854	2.8474289821751793	1.9822641199595514	0.6096613892576048	-0.16632179688148963	1.2556906468404803	-1.499506332687432	2.135353791729715	0.72044649572634345	0.6900258990256312	-2.6695775853376866	-0.1132119715675417	-0.21284181251638312	0.2083716525599204	-1.1291325443905378	-1.4010662598741797	0.7015423410871904	-2.03358881861769	-0.7892647187681865	0.26899627437635587	-0.5229967408202221	0.02354696554784752	-0.2516816458326465	-2.381895512885906	-1.1056020469803438	0.6506507337908012	-3.2573642502398057	-1.8222797249504832	0.4897841119981061	-0.5229967408202221	-1.6479263378057056	-0.5229967408202221	-0.4008940440193225	-1.6887483323259604	-1.17792270855997	-3.0750426934458512	0.17662295424534058	-1.3404416380577446	-0.8965102491217842	0.2083716525599204	-1.608705624652424	0.11680445903443015	-1.3114541011844927	-0.3342026695206499	-2.4689068898755355	-1.0166545609638478	-0.677147420647481	-1.6479263378057056	-1.6479263378057056	-1.9764304047777417	-3.0750426934458512
S1B6575	3.7587473442972676	3.0687199017140596	3.1997875091567654	2.396532679686043	2.3891851080556483	1.8788510055578476	1.8689743820619356	0.7010146748370376	2.492774144065092	1.3848097498267027	1.4320006812868291	1.413912332814399	1.3210762736809532	2.243357609692265	2.6308386861407262	2.2376530876626237	0.5428666545771588	0.3918263971642926	0.6033080087306599	-1.4673743528592946	2.0298376820424497	1.1064797829452022	0.01844960360762915	-1.316551463124711	-0.6036016552685863	-0.1596702663326255	0.37722759774314074	-0.6036016552685863	-0.9944679639555973	0.35867418984739263	-1.4673743528592946	-0.31591958281680466	-0.8847690466991729	0.16505307779950495	0.23101104559130192	-0.8465478338789758	-1.7945872640677107	0.6740588648485089	1.101146436969839	-1.2032227778177074	-2.5895171389375986	-0.035617617662646595	-0.12870804072865827	-1.3784268668427986	-1.6176565559086327	-0.6436069898822847	-0.8097338607562587	-0.3765442046332401	-1.6732264070634435	-0.2518407261322828	-2.0930802526237073	-1.8273770868907016	0.8069069639718993	-1.9327376025485279	0.6903193857202892	-1.7628385657531305	-0.4664005337551007	-1.6176565559086327	-1.8273770868907016	-2.232842194998866	-1.0854397421613244	-2.3382027106566925	-2.137532015194541	-3.0313498912166374
S2A1727	3.5139794451770303	2.8167397996404127	3.1556392219192357	2.11075233260729	2.3532760992390367	2.01458024300387	1.7606491538317925	1.6557737218604123	2.0077821202900488	0.8355864358848004	2.2760059808890967	2.2775697028652795	0.8933565079492132	1.9940456405621623	1.8117240837682074	1.8183411467875024	1.188288741626054	0.5782754613093175	0.25087872657097243	-1.3312670435751204	0.9200247550313749	1.3651776114067813	-0.36985587642049556	1.833883381936917	-0.2718754680602924	0.6861967978288179	1.1160841723786596	-0.14084720565388764	0.7089537849514338	-0.030237334109918024	-0.8880616074841088	0.41793281123413895	-1.0778181427655822	-0.12921916765876862	-0.18264433433234917	-0.6673902453152882	1.3767831575270897	0.2548235048619887	-0.36252983632842284	-0.5203368273587916	-2.6434534325412895	-0.7181625706887118	1.1094063512360544	-1.8813133804943925	-1.5936313080426117	-0.9517774218702169	-0.3921616339347942	-0.5820303963641313	-1.6189491160269016	-0.8398595056662312	-2.104456931808602	-1.312218848604426	-0.5551229434442071	-3.490751292928493	-0.7181625706887118	-2.1470165462273982	-0.805173947678341	-1.9866738961522188	-2.286778488602557	-1.2751775769240767	-3.0852861848203283	-2.574460561054338	-1.6715928495123236	-3.896216401036657
S2A3545	3.810606565568116	3.5294083320203358	3.30698261901824	2.1913112451704038	1.8416132463299295	2.250032566335525	2.192874152495577	1.2523461962573759	1.6434869770773872	1.7029970969872963	1.4588182132836138	1.0999717158313738	0.15373390758926586	1.112317551653673	1.045731946894377	1.442415439842156	0.8937646740480618	0.23439181060672087	0.866683715445391	-1.2568531460996688	0.3427000071018895	0.3558580916794005	0.40059398552079184	1.2003509011389957	1.057142013632408	-0.7526064934317205	-0.500192559817398	-0.47737788205122644	-0.492529687071829	0.32263244405107994	-0.6855957831487602	-0.8033788188051441	-0.06442210221390443	0.5591990156974305	-0.6855957831487602	-0.29255319503915356	-0.2678605824487814	0.21200281571324187	-0.6403391915606393	-1.6065268945794178	-0.3243018933537334	-1.036993669986649	-0.9250757537826635	-0.3243018933537334	-0.2678605824487814	-0.649228138977886	-1.1336205056757205	-0.3243018933537334	-1.5175794085629217	-1.3423753195378305	-0.973277855600541	-0.9369102114296668	-0.19157727769915134	-1.7842080718168702	-0.6055530754752239	-0.8903901957947733	-0.9488864024763819	-2.65967680917077	-1.1050471332316647	-2.2322327943438305	-1.9337398057878339	-2.071890144268651	-1.8413664856568186	-1.9337398057878339
S2A5060	3.850365637902538	3.4287681683531	3.4596940577380284	2.1227170391350416	2.0215234079046063	2.2722742336231097	2.1295679451266354	1.0345903719548621	2.1028135818244316	1.6631083243156297	1.712658445687687	1.4323158557239521	0.24586086571872645	1.7762037251051863	1.6753695669974915	1.6163118173538908	0.9582821788915377	0.4915038859706504	0.910152589446116	-1.3457724220818674	0.6229839958246153	0.6827627472504547	0.2897917949444526	0.5214945996543321	0.2307776235073975	-0.28716546802745757	-0.10569461311381545	-0.48387576227351126	-0.5546448331617189	0.2782642897733858	-0.9701602771233846	-0.3130066992113445	-0.1993041122361232	-0.2719753025334821	-0.6094530696567135	-0.355793974416553	0.09071168356187798	-0.4004941533344599	-0.05589179062999694	-1.5949882137058524	-1.5579469420255032	-0.49637592503774286	0.5572126822564121	-1.4381457422128827	-1.0654704569277094	-0.6749309990362207	-0.9803126485874021	-0.6824782046716038	-1.1958322747909529	-1.110932831004467	-1.134463328414661	-1.0009319357901383	-0.3025899383530888	-3.2626950342639285	-0.9305511390283385	-1.3311736226607147	-0.8290816788634787	-2.009932065768561	-1.5949882137058524	-1.5399284365228247	-1.95436221461375	-2.164082745595819	-1.7586176374876548	-1.6140364086765469
