SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	NB1-j	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	Spirochaeta	Lokiarchaeia	Calditrichaceae	SAR324_clade_Marine_group_B_	SEEP-SRB1	Bathyarchaeia	bacteriap25	SBR1031	MBNT15	Desulfobacca	Bacteroidetes_BD2-2	B2M28	Woeseia	BD7-8	Marine_Benthic_Group_D_and_DHVEG-1	Pelagibius	Bauldia	Calorithrix	Zixibacteria	Candidatus_Tenderia	S085	SB-5	MND1	Dehalococcoidia	Subgroup_18	Desulfatitalea	Pseudolabrys	GIF3	Subgroup_22	SAR202_clade	AT-s3-44	Ignavibacterium	t0.6.f	661239	Thiohalobacter	Vicinamibacteraceae	Sva0485	SG8-4	Subgroup_23	vadinBA26	Candidatus_Thiobios	Sediminispirochaeta	Urania-1B-19_marine_sediment_group	Entotheonellaceae	MBMPE27	KI89A_clade	SPG12-461-471-B8	JTB23	Caldithrix	Aminicenantales	Methyloceanibacter	OM190	Haliangium	RCP2-54	UASB-TL25	Latescibacterota	Pla3_lineage	MD2902-B12
S1A015	6914	5951	7306	1807	1261	1064	1231	432	307	594	323	421	1202	0	136	0	435	10	354	734	240	168	166	493	314	81	11	59	25	1326	131	91	225	257	118	489	17	235	52	20	234	21	0	485	66	45	581	0	103	0	34	10	17	8	19	32	12	24	18	38	53	24	17	81
S1A1530	7594	5135	7658	2084	2137	1359	1061	1967	513	553	738	919	605	198	145	45	771	135	415	1727	499	186	191	480	87	395	286	419	447	503	181	215	487	126	695	320	130	342	54	417	86	331	2	779	41	104	68	26	12	12	45	269	32	62	22	26	6	231	17	44	15	24	78	37
S1A3050	5792	3439	5150	1834	1983	1099	914	823	380	371	683	1088	804	33	58	36	778	284	246	1128	358	275	77	158	102	188	147	254	394	230	149	167	99	84	145	303	131	184	84	499	194	176	0	141	45	76	47	14	17	34	18	251	5	68	12	25	10	43	21	13	2	11	40	63
S1A5075	6702	5176	4855	1623	1628	1417	788	967	306	584	574	1329	729	123	126	88	484	430	358	1038	398	450	163	978	105	342	247	257	304	195	81	244	172	88	156	282	188	343	112	518	57	150	14	226	45	142	53	17	23	83	26	147	6	31	9	34	4	37	36	15	0	11	41	25
S1B07	13191	12881	8642	1956	1815	1795	2756	917	324	1724	869	183	1588	53	273	61	255	62	912	494	352	294	490	29	322	327	55	92	20	21	138	291	319	257	198	244	59	31	10	59	153	110	0	89	197	79	36	53	39	27	80	24	21	95	19	74	49	14	40	17	51	50	18	34
S1B2230	10047	5620	5959	1685	2429	1841	1816	1285	1256	1586	1178	1511	518	1469	1567	1223	625	759	472	56	782	584	211	336	108	166	375	204	201	327	29	434	189	294	161	101	140	177	382	154	17	160	329	117	66	105	143	512	76	177	53	90	88	629	133	40	171	50	42	28	16	31	48	13
S1B3040	8762	6613	4674	1819	1604	1317	1595	362	2174	1086	871	447	217	935	2239	942	238	109	455	28	1098	266	258	8	115	104	159	41	31	261	16	58	169	76	132	100	11	42	248	4	20	211	76	24	76	86	23	39	5	154	33	52	159	25	145	34	92	10	46	65	24	24	17	5
S1B6575	8000	4012	4574	2048	2033	1220	1208	375	2255	744	780	766	698	1757	2589	1747	320	275	340	42	1419	563	189	49	101	158	271	101	68	266	42	135	76	219	234	79	30	365	560	55	13	179	163	46	36	97	82	127	34	144	22	29	417	26	371	31	116	36	29	19	62	17	21	8
S2A1727	6610	3291	4619	1624	2070	1475	1144	1030	1465	453	1916	1919	480	1445	1204	1212	645	350	252	51	493	770	135	1231	149	390	600	170	399	190	80	298	66	172	163	100	779	253	136	116	13	95	596	29	39	75	132	109	38	84	23	52	112	5	95	22	87	26	19	54	8	14	36	3
S2A3545	9684	7310	5852	1917	1351	2033	1920	749	1108	1176	921	643	249	651	609	906	523	270	509	60	301	305	319	711	616	100	129	132	130	295	107	95	200	374	107	159	163	264	112	42	154	75	84	154	163	111	68	154	46	55	80	83	176	35	116	87	82	14	70	22	30	26	33	30
S2A5060	12278	8054	8307	2181	1971	2533	2196	734	2138	1377	1447	1093	333	1542	1394	1314	680	426	648	67	486	516	348	439	328	195	234	160	149	344	98	190	213	198	141	182	285	174	246	52	54	158	455	61	89	132	97	131	78	85	83	95	192	9	102	68	113	34	52	55	36	29	44	51
S2A515	5492	3281	4524	1293	1510	1269	844	1212	1951	344	1482	862	603	1006	946	844	736	508	254	144	271	374	207	788	186	200	193	75	366	76	53	340	76	97	167	82	196	163	157	148	7	87	271	80	38	37	88	610	61	34	81	83	67	9	20	43	62	34	18	64	14	17	90	42
