site_label_for_analysis	site_real_candidate	depth_final	n_samples
Site_1	Miguelito Dike	1	2
Site_1	Miguelito Dike	2	2
Site_1	Miguelito Dike	3	2
Site_1	Miguelito Dike	4	2
Site_2	Miguelito Dike	1	2
Site_2	Miguelito Dike	2	2
Site_2	Miguelito Dike	3	2
Site_2	Miguelito Dike	4	2
Site_3	Miguelito Dike	1	2
Site_3	Miguelito Dike	2	2
Site_3	Miguelito Dike	3	2
Site_3	Miguelito Dike	4	2
Site_4	Reforma Waterfalls	1	1
Site_4	Reforma Waterfalls	2	1
Site_4	Reforma Waterfalls	3	1
Site_4	Reforma Waterfalls	4	1
Site_5	Reforma Waterfalls	1	2
Site_5	Reforma Waterfalls	2	2
Site_5	Reforma Waterfalls	3	2
Site_5	Reforma Waterfalls	4	2
Site_6	Fossil Lagoon	1	2
Site_6	Fossil Lagoon	2	2
Site_6	Fossil Lagoon	3	2
Site_7	Fossil Lagoon	1	2
Site_7	Fossil Lagoon	2	2
Site_7	Fossil Lagoon	3	2
Site_7	Fossil Lagoon	4	2
