Location	edge_id	taxon1	taxon2	detection_frequency	median_weight	median_abs_weight	prop_positive
Fossil Lagoon	ASV_1264___ASV_2317	ASV_1264	ASV_2317	0.788	0.03925313434716922	0.03925313434716922	1
Fossil Lagoon	ASV_552___ASV_557	ASV_552	ASV_557	0.746	-0.038052279812311685	0.038052279812311685	0
Fossil Lagoon	ASV_1370___ASV_1408	ASV_1370	ASV_1408	0.724	-0.03884597747070428	0.03884597747070428	0
Fossil Lagoon	ASV_41___ASV_68	ASV_41	ASV_68	0.724	0.037066826007133485	0.037066826007133485	1
Fossil Lagoon	ASV_215___ASV_774	ASV_215	ASV_774	0.678	0.04192048231410713	0.04192048231410713	1
Fossil Lagoon	ASV_116___ASV_552	ASV_552	ASV_116	0.666	-0.03600421394071413	0.03600421394071413	0
Fossil Lagoon	ASV_1751___ASV_249	ASV_249	ASV_1751	0.662	-0.037804999729148046	0.037804999729148046	0
Fossil Lagoon	ASV_116___ASV_557	ASV_116	ASV_557	0.654	0.036856310446033026	0.036856310446033026	1
Fossil Lagoon	ASV_1408___ASV_2449	ASV_1408	ASV_2449	0.646	0.040161381756862714	0.040161381756862714	1
Fossil Lagoon	ASV_3411___ASV_516	ASV_516	ASV_3411	0.632	0.04030855208955256	0.04030855208955256	1
Fossil Lagoon	ASV_1987___ASV_3929	ASV_1987	ASV_3929	0.614	-0.03744075654715748	0.03744075654715748	0
Fossil Lagoon	ASV_501___ASV_802	ASV_501	ASV_802	0.612	0.037428923968072327	0.037428923968072327	1
Fossil Lagoon	ASV_1408___ASV_548	ASV_548	ASV_1408	0.604	-0.03744483761517202	0.03744483761517202	0
Fossil Lagoon	ASV_1116___ASV_1489	ASV_1116	ASV_1489	0.602	0.04009186395836822	0.04009186395836822	1
Fossil Lagoon	ASV_147___ASV_345	ASV_345	ASV_147	0.582	-0.038587748385416135	0.038587748385416135	0
Fossil Lagoon	ASV_473___ASV_921	ASV_473	ASV_921	0.582	0.03805111967297364	0.03805111967297364	1
Fossil Lagoon	ASV_1408___ASV_1839	ASV_1408	ASV_1839	0.578	0.038014113435119186	0.038014113435119186	1
Fossil Lagoon	ASV_1987___ASV_969	ASV_969	ASV_1987	0.57	0.039213693130106926	0.039213693130106926	1
Fossil Lagoon	ASV_230___ASV_317	ASV_317	ASV_230	0.562	0.03679206522958855	0.03679206522958855	1
Fossil Lagoon	ASV_109___ASV_969	ASV_969	ASV_109	0.56	0.03756091229439866	0.03756091229439866	1
Fossil Lagoon	ASV_114___ASV_162	ASV_114	ASV_162	0.554	0.03543498669658652	0.03543498669658652	1
Fossil Lagoon	ASV_1727___ASV_774	ASV_774	ASV_1727	0.55	-0.041012447149992394	0.041012447149992394	0
Fossil Lagoon	ASV_1408___ASV_892	ASV_892	ASV_1408	0.544	0.03619166741553012	0.03619166741553012	1
Fossil Lagoon	ASV_399___ASV_516	ASV_399	ASV_516	0.54	0.03778186104165899	0.03778186104165899	1
Fossil Lagoon	ASV_2235___ASV_774	ASV_774	ASV_2235	0.528	-0.038556060048574536	0.038556060048574536	0
Fossil Lagoon	ASV_2297___ASV_516	ASV_516	ASV_2297	0.526	0.036056060452999104	0.036056060452999104	1
Fossil Lagoon	ASV_1163___ASV_689	ASV_689	ASV_1163	0.516	0.03833011618834093	0.03833011618834093	1
Fossil Lagoon	ASV_162___ASV_197	ASV_162	ASV_197	0.516	0.03485621345726328	0.03485621345726328	1
Fossil Lagoon	ASV_1489___ASV_548	ASV_548	ASV_1489	0.506	0.0389943922469195	0.0389943922469195	1
Fossil Lagoon	ASV_1839___ASV_969	ASV_969	ASV_1839	0.506	-0.03882575261283406	0.03882575261283406	0
Fossil Lagoon	ASV_110___ASV_1408	ASV_110	ASV_1408	0.506	-0.03668789050153717	0.03668789050153717	0
Miguelito Dike	ASV_1356___ASV_511	ASV_511	ASV_1356	0.936	0.04905573831980205	0.04905573831980205	1
Miguelito Dike	ASV_1356___ASV_689	ASV_689	ASV_1356	0.62	0.0421714964981404	0.0421714964981404	1
Miguelito Dike	ASV_1163___ASV_249	ASV_249	ASV_1163	0.568	0.04450422205255489	0.04450422205255489	1
Miguelito Dike	ASV_3411___ASV_798	ASV_798	ASV_3411	0.54	0.04216300743600572	0.04216300743600572	1
Miguelito Dike	ASV_43___ASV_7	ASV_7	ASV_43	0.506	0.04873614128748185	0.04873614128748185	1
Reforma Waterfalls	ASV_1573___ASV_1727	ASV_1573	ASV_1727	0.84	-0.04256781750820675	0.04256781750820675	0
Reforma Waterfalls	ASV_1370___ASV_2317	ASV_1370	ASV_2317	0.776	-0.04087871168681316	0.04087871168681316	0
Reforma Waterfalls	ASV_1163___ASV_584	ASV_584	ASV_1163	0.758	0.039685100306238744	0.039685100306238744	1
Reforma Waterfalls	ASV_41___ASV_68	ASV_41	ASV_68	0.704	0.03625986611749961	0.03625986611749961	1
Reforma Waterfalls	ASV_1062___ASV_2616	ASV_1062	ASV_2616	0.702	0.04059094162429543	0.04059094162429543	1
Reforma Waterfalls	ASV_1062___ASV_2782	ASV_1062	ASV_2782	0.638	0.041707858527013364	0.04183118535454073	0.9059561128526645
Reforma Waterfalls	ASV_345___ASV_942	ASV_345	ASV_942	0.616	0.0376165744378005	0.0376165744378005	1
Reforma Waterfalls	ASV_475___ASV_551	ASV_475	ASV_551	0.614	0.039664297063883566	0.039664297063883566	1
Reforma Waterfalls	ASV_1291___ASV_2616	ASV_1291	ASV_2616	0.608	-0.03786270192288346	0.03786270192288346	0
Reforma Waterfalls	ASV_1967___ASV_1987	ASV_1987	ASV_1967	0.606	0.04084817790548039	0.04084817790548039	1
Reforma Waterfalls	ASV_1987___ASV_2653	ASV_1987	ASV_2653	0.598	0.037932035906613655	0.037932035906613655	1
Reforma Waterfalls	ASV_1523___ASV_2604	ASV_1523	ASV_2604	0.596	0.038546182100488845	0.038546182100488845	1
Reforma Waterfalls	ASV_2787___ASV_345	ASV_345	ASV_2787	0.596	0.03802074357133754	0.03802074357133754	1
Reforma Waterfalls	ASV_1727___ASV_1967	ASV_1727	ASV_1967	0.594	0.04259966242207551	0.04259966242207551	1
Reforma Waterfalls	ASV_2317___ASV_345	ASV_345	ASV_2317	0.592	0.04372459856203948	0.04372459856203948	0.9966216216216216
Reforma Waterfalls	ASV_39___ASV_41	ASV_41	ASV_39	0.59	0.03513985736929669	0.03513985736929669	1
Reforma Waterfalls	ASV_1256___ASV_253	ASV_253	ASV_1256	0.588	0.036795389689425834	0.036795389689425834	1
Reforma Waterfalls	ASV_39___ASV_68	ASV_39	ASV_68	0.588	0.03554626857812271	0.03554626857812271	1
Reforma Waterfalls	ASV_1873___ASV_415	ASV_415	ASV_1873	0.584	0.036691458700137736	0.036691458700137736	1
Reforma Waterfalls	ASV_1081___ASV_475	ASV_475	ASV_1081	0.582	0.03792438126219513	0.03792438126219513	1
Reforma Waterfalls	ASV_442___ASV_475	ASV_442	ASV_475	0.578	0.040143265607336893	0.040143265607336893	1
Reforma Waterfalls	ASV_2604___ASV_584	ASV_584	ASV_2604	0.574	0.03949974244263479	0.03949974244263479	1
Reforma Waterfalls	ASV_2301___ASV_2949	ASV_2949	ASV_2301	0.574	-0.03811155024849472	0.03811155024849472	0
Reforma Waterfalls	ASV_1839___ASV_376	ASV_376	ASV_1839	0.568	-0.0389387871980358	0.0389387871980358	0
Reforma Waterfalls	ASV_12___ASV_8	ASV_8	ASV_12	0.568	0.03368583595571201	0.03368583595571201	1
Reforma Waterfalls	ASV_1062___ASV_1839	ASV_1062	ASV_1839	0.566	0.041507235237022155	0.041562519155155894	0.9893992932862191
Reforma Waterfalls	ASV_1189___ASV_2317	ASV_1189	ASV_2317	0.564	0.04026917100174146	0.04026917100174146	1
Reforma Waterfalls	ASV_506___ASV_743	ASV_506	ASV_743	0.564	0.036834518914342466	0.036834518914342466	1
Reforma Waterfalls	ASV_1256___ASV_1302	ASV_1256	ASV_1302	0.56	0.037762739421009016	0.037762739421009016	1
Reforma Waterfalls	ASV_2787___ASV_3929	ASV_3929	ASV_2787	0.552	0.03916015087478335	0.03916015087478335	1
Reforma Waterfalls	ASV_2317___ASV_2866	ASV_2317	ASV_2866	0.552	0.03737983305185262	0.03737983305185262	1
Reforma Waterfalls	ASV_2448___ASV_557	ASV_2448	ASV_557	0.55	-0.03955703766461191	0.03955703766461191	0
Reforma Waterfalls	ASV_11___ASV_8	ASV_8	ASV_11	0.548	0.034510582967216936	0.034510582967216936	1
Reforma Waterfalls	ASV_2317___ASV_505	ASV_505	ASV_2317	0.536	0.03915111975436504	0.03915111975436504	1
Reforma Waterfalls	ASV_1552___ASV_2616	ASV_1552	ASV_2616	0.534	0.03759226712731723	0.03759226712731723	1
Reforma Waterfalls	ASV_11___ASV_15	ASV_11	ASV_15	0.534	0.034945865115014484	0.034945865115014484	1
Reforma Waterfalls	ASV_1208___ASV_475	ASV_475	ASV_1208	0.532	-0.03818186278103744	0.03818186278103744	0
Reforma Waterfalls	ASV_2317___ASV_584	ASV_584	ASV_2317	0.53	0.0421017385673523	0.0421017385673523	1
Reforma Waterfalls	ASV_2317___ASV_450	ASV_450	ASV_2317	0.528	0.03884669793177947	0.038980853790659714	0.9848484848484849
Reforma Waterfalls	ASV_1254___ASV_1443	ASV_1254	ASV_1443	0.526	0.04620708617073424	0.04620708617073424	1
Reforma Waterfalls	ASV_345___ASV_450	ASV_345	ASV_450	0.524	0.03784682034888477	0.03784682034888477	1
Reforma Waterfalls	ASV_1727___ASV_475	ASV_475	ASV_1727	0.522	0.03849687624162098	0.03849687624162098	1
Reforma Waterfalls	ASV_150___ASV_935	ASV_150	ASV_935	0.522	0.037197318857939324	0.037197318857939324	1
Reforma Waterfalls	ASV_1020___ASV_1443	ASV_1020	ASV_1443	0.514	0.042208488373981654	0.042208488373981654	1
Reforma Waterfalls	ASV_3227___ASV_329	ASV_329	ASV_3227	0.514	0.03660584145852192	0.03660584145852192	1
Reforma Waterfalls	ASV_1573___ASV_557	ASV_1573	ASV_557	0.512	0.04109201031076753	0.04109201031076753	1
Reforma Waterfalls	ASV_1020___ASV_935	ASV_935	ASV_1020	0.508	0.037974170444631	0.037974170444631	1
Reforma Waterfalls	ASV_12___ASV_345	ASV_12	ASV_345	0.504	0.03528344880774713	0.03528344880774713	1
