Location	metric	median	mean	sd	q025	q25	q75	q975	n_boot
Fossil Lagoon	average_degree	3.98	3.98	0	3.98	3.98	3.98	3.98	500
Miguelito Dike	average_degree	3.98	3.98	0	3.98	3.98	3.98	3.98	500
Reforma Waterfalls	average_degree	3.98	3.98	0	3.98	3.98	3.98	3.98	500
Fossil Lagoon	edge_density	0.02	0.02	0	0.02	0.02	0.02	0.02	500
Miguelito Dike	edge_density	0.02	0.02	0	0.02	0.02	0.02	0.02	500
Reforma Waterfalls	edge_density	0.02	0.02	0	0.02	0.02	0.02	0.02	500
Fossil Lagoon	largest_component_prop	0.635	0.62737	0.06355873287794606	0.487375	0.59	0.67	0.737625	500
Miguelito Dike	largest_component_prop	0.625	0.62536	0.04860653856408997	0.52	0.595	0.66	0.7176249999999998	500
Reforma Waterfalls	largest_component_prop	0.59	0.58749	0.0677209136403857	0.437375	0.545	0.63	0.7176249999999998	500
Fossil Lagoon	modularity_louvain	0.5170528886899326	0.5179791811351611	0.03276086116418621	0.45449939704530085	0.49654967410711015	0.5387386904698426	0.581580919922103	500
Miguelito Dike	modularity_louvain	0.4874716756981827	0.4881835557332058	0.03336056834629558	0.4191172080907911	0.46726360128846256	0.511012510614768	0.5529693280872915	500
Reforma Waterfalls	modularity_louvain	0.49655787977217725	0.49870975255339184	0.038695041371543844	0.41997987818272675	0.473878560442003	0.5249505204036792	0.5739055360784997	500
Fossil Lagoon	n_edges	398	398	0	398	398	398	398	500
Miguelito Dike	n_edges	398	398	0	398	398	398	398	500
Reforma Waterfalls	n_edges	398	398	0	398	398	398	398	500
Fossil Lagoon	n_nodes	200	200	0	200	200	200	200	500
Miguelito Dike	n_nodes	200	200	0	200	200	200	200	500
Reforma Waterfalls	n_nodes	200	200	0	200	200	200	200	500
Fossil Lagoon	natural_connectivity	0.0026280002798703605	0.0026228124766066127	4.782279947493279e-4	0.0016087540060719645	0.00232463084467579	0.0029392099778583684	0.0035205047042845927	500
Miguelito Dike	natural_connectivity	0.0035902205331657584	0.003587659823707719	6.012657804166821e-4	0.0024577503503566906	0.003150974914280921	0.0039951361403802585	0.004830906540885323	500
Reforma Waterfalls	natural_connectivity	0.0025839180740234143	0.0026137804162642076	5.641770506446793e-4	0.0015934309704419432	0.002216152939647212	0.0030280380964144743	0.0036570080459579985	500
Fossil Lagoon	prop_positive	0.6030150753768844	0.6013969849246231	0.03393150917237224	0.533856783919598	0.5804020100502513	0.6231155778894473	0.6658291457286433	500
Miguelito Dike	prop_positive	0.628140703517588	0.6268492462311558	0.03460531432424901	0.5564698492462311	0.6030150753768844	0.6507537688442211	0.6972989949748742	500
Reforma Waterfalls	prop_positive	0.6381909547738693	0.6367336683417085	0.0315122054592606	0.5753768844221105	0.6174623115577889	0.6582914572864321	0.6972989949748742	500
Fossil Lagoon	robustness_auc_random	0.275125	0.27259875	0.02874813041211348	0.20896250000000002	0.2554375	0.29278125	0.32401250000000004	500
Miguelito Dike	robustness_auc_random	0.2750625	0.27369475000000004	0.023286861306464488	0.2237	0.25884375000000004	0.288625	0.317465625	500
Reforma Waterfalls	robustness_auc_random	0.2571875	0.25636875000000003	0.030052347526794684	0.19277812500000002	0.23534375000000002	0.27721875	0.312584375	500
Fossil Lagoon	robustness_auc_targeted	0.10425000000000001	0.10392525000000001	0.019894909739795484	0.064684375	0.09121875000000002	0.11665625000000002	0.14314375	500
Miguelito Dike	robustness_auc_targeted	0.1035625	0.1045365	0.0174000809879372	0.07273750000000001	0.09409375	0.115125	0.14113125	500
Reforma Waterfalls	robustness_auc_targeted	0.09150000000000001	0.09262475	0.01997725801663548	0.05542812500000001	0.08021875	0.10525	0.134328125	500
Fossil Lagoon	transitivity	0.30575032464498497	0.31323187471544395	0.05130876658083251	0.23863808510963871	0.2769548867753445	0.33886783272005894	0.44375538222373667	500
Miguelito Dike	transitivity	0.265954923857868	0.2699072613143932	0.0346663706445195	0.2159735388354878	0.24407195918152308	0.291772329969614	0.34886078254535363	500
Reforma Waterfalls	transitivity	0.33422512137729726	0.34013413935052317	0.054523171525632116	0.252993629946145	0.30320402847369643	0.36695005607680736	0.4682279063412349	500
