metric	contrast	group_a	group_b	median_delta	mean_delta	q025_delta	q975_delta	p_boot_two_sided	n_boot
average_degree	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0	0	0	0	2	500
average_degree	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0	0	0	0	2	500
average_degree	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0	0	0	0	2	500
edge_density	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0	0	0	0	2	500
edge_density	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0	0	0	0	2	500
edge_density	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0	0	0	0	2	500
largest_component_prop	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	-0.010000000000000009	-0.002010000000000001	-0.15762499999999996	0.16499999999999998	0.936	500
largest_component_prop	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0.03500000000000003	0.03787	-0.117625	0.2026249999999999	0.628	500
largest_component_prop	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	-0.040000000000000036	-0.03988	-0.21999999999999997	0.1476249999999999	0.692	500
modularity_louvain	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	-0.02920856840034733	-0.029795625401955236	-0.119632502652293	0.0634777444569008	0.544	500
modularity_louvain	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	-0.009898200139376923	-0.010526196820185987	-0.10510983659747183	0.08022318025924031	0.836	500
modularity_louvain	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	-0.019989465046566846	-0.019269428581769252	-0.11207177788211141	0.0768313586861914	0.68	500
n_edges	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0	0	0	0	2	500
n_edges	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0	0	0	0	2	500
n_edges	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0	0	0	0	2	500
n_nodes	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0	0	0	0	2	500
n_nodes	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0	0	0	0	2	500
n_nodes	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0	0	0	0	2	500
natural_connectivity	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0.00097401227774071065	9.648473471011063e-4	-4.382848830438653e-4	0.0024224249945653943	0.22	500
natural_connectivity	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	9.820824309965963e-4	9.738794074435114e-4	-6.238022548315435e-4	0.002507897689294607	0.244	500
natural_connectivity	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	-5.868302207153505e-5	-9.03206034240504e-6	-0.0015106001794154033	0.0014922479763699696	0.936	500
prop_positive	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	0.0201005025125629	0.02545226130653267	-0.06796482412060298	0.12060301507537696	0.588	500
prop_positive	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	-0.01005025125628134	-0.009884422110552765	-0.09811557788944722	0.08304020100502502	0.84	500
prop_positive	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0.03517587939698491	0.035336683417085436	-0.05910804020100498	0.12311557788944727	0.468	500
robustness_auc_random	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	5.624999999999936e-4	0.0010959999999999998	-0.07334062499999996	0.07507187500000001	0.992	500
robustness_auc_random	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0.015937499999999993	0.017326	-0.05849374999999998	0.09635937499999996	0.648	500
robustness_auc_random	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	-0.018375000000000002	-0.01623	-0.09116874999999999	0.07195937499999999	0.672	500
robustness_auc_targeted	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	-6.938893903907228e-18	6.112499999999996e-4	-0.04913124999999999	0.05853124999999996	1	500
robustness_auc_targeted	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	0.011437500000000003	0.011911749999999999	-0.04404375	0.05897187499999997	0.648	500
robustness_auc_targeted	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	-0.011124999999999989	-0.0113005	-0.06501875000000001	0.04269687499999999	0.696	500
transitivity	Miguelito Dike - Fossil Lagoon	Miguelito Dike	Fossil Lagoon	-0.03874957234743112	-0.04332461340105076	-0.17852436207779815	0.06868425574640219	0.484	500
transitivity	Miguelito Dike - Reforma Waterfalls	Miguelito Dike	Reforma Waterfalls	-0.06706714660171159	-0.07022687803613001	-0.21480420182381665	0.05180477609653912	0.24	500
transitivity	Reforma Waterfalls - Fossil Lagoon	Reforma Waterfalls	Fossil Lagoon	0.026280411679907384	0.026902264635079248	-0.12637923922387792	0.1813991954175806	0.732	500
