Location	mode	removal_fraction	median_largest_component_prop	q25	q75	q025	q975	n_boot
Fossil Lagoon	random	0	0.635	0.59	0.67	0.487375	0.737625	500
Fossil Lagoon	random	0.05	0.595	0.55	0.63	0.46237500000000004	0.695	500
Fossil Lagoon	random	0.1	0.56	0.52	0.595	0.43	0.655	500
Fossil Lagoon	random	0.15000000000000002	0.525	0.485	0.56	0.4	0.615	500
Fossil Lagoon	random	0.2	0.49	0.45	0.52	0.372375	0.5726249999999998	500
Fossil Lagoon	random	0.25	0.45	0.42	0.48	0.34	0.5326249999999999	500
Fossil Lagoon	random	0.30000000000000004	0.415	0.385	0.445	0.315	0.49	500
Fossil Lagoon	random	0.35000000000000003	0.375	0.35	0.41	0.285	0.45	500
Fossil Lagoon	random	0.4	0.34	0.315	0.365	0.26	0.415	500
Fossil Lagoon	random	0.45	0.305	0.28	0.33	0.225	0.375	500
Fossil Lagoon	random	0.5	0.265	0.24	0.29	0.195	0.3376249999999999	500
Fossil Lagoon	random	0.55	0.23	0.205	0.255	0.147375	0.29762499999999986	500
Fossil Lagoon	random	0.6000000000000001	0.195	0.165	0.22	0.105	0.2576249999999999	500
Fossil Lagoon	random	0.65	0.155	0.12875	0.18	0.062375000000000014	0.22	500
Fossil Lagoon	random	0.7000000000000001	0.11	0.085	0.14	0.04237500000000001	0.18	500
Fossil Lagoon	random	0.75	0.075	0.05	0.1	0.025	0.14	500
Fossil Lagoon	random	0.8	0.04	0.03	0.065	0.015	0.1	500
Fossil Lagoon	random	0.8500000000000001	0.025	0.015	0.04	0.01	0.07	500
Fossil Lagoon	random	0.9	0.015	0.01	0.02	0.005	0.04	500
Miguelito Dike	random	0	0.625	0.595	0.66	0.52	0.7176249999999998	500
Miguelito Dike	random	0.05	0.5925	0.56375	0.62	0.492375	0.6776249999999999	500
Miguelito Dike	random	0.1	0.555	0.525	0.58	0.46237500000000004	0.635	500
Miguelito Dike	random	0.15000000000000002	0.52	0.49374999999999997	0.545	0.43	0.6	500
Miguelito Dike	random	0.2	0.485	0.45875000000000005	0.51	0.39237500000000003	0.56	500
Miguelito Dike	random	0.25	0.45	0.425	0.475	0.367375	0.5226249999999999	500
Miguelito Dike	random	0.30000000000000004	0.415	0.39	0.44	0.335	0.48	500
Miguelito Dike	random	0.35000000000000003	0.375	0.355	0.4	0.3	0.445	500
Miguelito Dike	random	0.4	0.345	0.32	0.365	0.26737500000000003	0.405	500
Miguelito Dike	random	0.45	0.31	0.285	0.32625000000000004	0.24	0.365	500
Miguelito Dike	random	0.5	0.27	0.25	0.29124999999999995	0.202375	0.33	500
Miguelito Dike	random	0.55	0.235	0.21	0.26	0.16	0.2926249999999999	500
Miguelito Dike	random	0.6000000000000001	0.195	0.175	0.215	0.11737500000000001	0.255	500
Miguelito Dike	random	0.65	0.155	0.13	0.18	0.062375000000000014	0.21	500
Miguelito Dike	random	0.7000000000000001	0.115	0.085	0.14	0.035	0.175	500
Miguelito Dike	random	0.75	0.075	0.053750000000000006	0.105	0.025	0.14	500
Miguelito Dike	random	0.8	0.045	0.03	0.065	0.015	0.1	500
Miguelito Dike	random	0.8500000000000001	0.025	0.02	0.04	0.01	0.07	500
Miguelito Dike	random	0.9	0.015	0.01	0.02	0.005	0.04	500
Reforma Waterfalls	random	0	0.59	0.545	0.63	0.437375	0.7176249999999998	500
Reforma Waterfalls	random	0.05	0.555	0.51	0.595	0.41475	0.6726249999999999	500
Reforma Waterfalls	random	0.1	0.525	0.485	0.56	0.387375	0.6376249999999999	500
Reforma Waterfalls	random	0.15000000000000002	0.49	0.45	0.525	0.362375	0.5976249999999999	500
Reforma Waterfalls	random	0.2	0.46	0.42	0.49	0.33737500000000004	0.56	500
Reforma Waterfalls	random	0.25	0.425	0.39	0.45	0.315	0.52	500
Reforma Waterfalls	random	0.30000000000000004	0.39	0.355	0.415	0.282375	0.485	500
Reforma Waterfalls	random	0.35000000000000003	0.355	0.32	0.38	0.257375	0.4376249999999999	500
Reforma Waterfalls	random	0.4	0.32	0.29	0.35	0.23	0.39	500
Reforma Waterfalls	random	0.45	0.285	0.26	0.31124999999999997	0.205	0.355	500
Reforma Waterfalls	random	0.5	0.25	0.225	0.275	0.172375	0.315	500
Reforma Waterfalls	random	0.55	0.215	0.19	0.24	0.13737500000000002	0.28	500
Reforma Waterfalls	random	0.6000000000000001	0.185	0.155	0.205	0.09	0.245	500
Reforma Waterfalls	random	0.65	0.145	0.125	0.17	0.055	0.21	500
Reforma Waterfalls	random	0.7000000000000001	0.11	0.08	0.135	0.035	0.17	500
Reforma Waterfalls	random	0.75	0.07	0.05	0.1	0.025	0.14	500
Reforma Waterfalls	random	0.8	0.045	0.03	0.065	0.015	0.1	500
