Location	site_code	depth_final	n_samples
Miguelito Dike	Site_1	1	2
Miguelito Dike	Site_1	2	2
Miguelito Dike	Site_1	3	2
Miguelito Dike	Site_1	4	2
Miguelito Dike	Site_2	1	2
Miguelito Dike	Site_2	2	2
Miguelito Dike	Site_2	3	2
Miguelito Dike	Site_2	4	2
Miguelito Dike	Site_3	1	2
Miguelito Dike	Site_3	2	2
Miguelito Dike	Site_3	3	2
Miguelito Dike	Site_3	4	2
Reforma Waterfalls	Site_4	1	1
Reforma Waterfalls	Site_4	2	1
Reforma Waterfalls	Site_4	3	1
Reforma Waterfalls	Site_4	4	1
Reforma Waterfalls	Site_5	1	2
Reforma Waterfalls	Site_5	2	2
Reforma Waterfalls	Site_5	3	2
Reforma Waterfalls	Site_5	4	2
Fossil Lagoon	Site_6	1	2
Fossil Lagoon	Site_6	2	2
Fossil Lagoon	Site_6	3	2
Fossil Lagoon	Site_7	1	2
Fossil Lagoon	Site_7	2	2
Fossil Lagoon	Site_7	3	2
Fossil Lagoon	Site_7	4	2
