dataset	network_group	from	to	selection_frequency	mean_weight	median_weight	mean_abs_weight	prop_positive	stable_edge
depth_natural	Coastal_natural	FJ477316.1.1346	FJ905762.1.1411	0.915	0.0512791522305124	0.0501111489704688	0.0512791522305124	1	TRUE
depth_natural	Coastal_natural	AB622941.1.1314	HQ738402.1.1458	0.83	0.0418991814478166	0.040778229449255	0.0418991814478166	1	TRUE
depth_natural	Coastal_natural	FJ477316.1.1346	HM798748.1.1422	0.79	0.0467540058232142	0.0443337938182601	0.0467540058232142	1	TRUE
depth_natural	Coastal_natural	HM598262.1.1519	KX504856.1.1527	0.785	0.0443584533863194	0.0431885211373217	0.0443584533863194	1	TRUE
depth_natural	Coastal_natural	FJ905762.1.1411	HM798748.1.1422	0.78	0.0466183431695901	0.0440554518180433	0.0466183431695901	1	TRUE
depth_natural	Coastal_natural	EU488419.1.1514	KJ817529.1.1517	0.78	0.0435992710414931	0.0433801139102955	0.0435992710414931	1	TRUE
depth_natural	Coastal_natural	EU652611.1.1524	KP762238.1.1208	0.77	0.0414327822200648	0.0406077697866931	0.0414327822200648	1	TRUE
depth_natural	Coastal_natural	DQ811807.1.1529	KY861742.1.1376	0.765	0.048526226159644	0.0475581062726543	0.048526226159644	1	TRUE
depth_natural	Coastal_natural	HE803898.1.1484	JQ816305.1.1426	0.76	0.0421810825633435	0.0408763450222245	0.0421810825633435	1	TRUE
depth_natural	Coastal_natural	GQ356834.1.936	KP762238.1.1208	0.76	0.0409713332972518	0.0403835662339667	0.0409713332972518	1	TRUE
depth_natural	Coastal_natural	EU652611.1.1524	GQ356834.1.936	0.76	0.0407736846710578	0.0399704493593658	0.0407736846710578	1	TRUE
depth_natural	Coastal_natural	AB806698.1.1488	JQ580158.1.1515	0.76	0.0406131405457789	0.0396662096237618	0.0406131405457789	1	TRUE
depth_natural	Coastal_natural	EU488419.1.1514	GU230392.1.1515	0.755	0.043410274732328	0.043146740541254	0.043410274732328	1	TRUE
depth_natural	Coastal_natural	GU230392.1.1515	KJ817529.1.1517	0.74	0.0427616397519478	0.0421561157620964	0.0427616397519478	1	TRUE
depth_natural	Coastal_natural	DQ431904.1.1420	JQ816305.1.1426	0.74	0.0421353973155863	0.0407159879041388	0.0421353973155863	1	TRUE
depth_natural	Coastal_natural	HF922320.1.1505	HQ697688.1.1523	0.74	0.0394031093623772	0.0375735108667374	0.0394031093623772	1	TRUE
depth_natural	Coastal_natural	DQ431904.1.1420	HE803898.1.1484	0.735	0.0422115404577816	0.0406758187326216	0.0422115404577816	1	TRUE
depth_natural	Coastal_natural	AB364850.1.1498	HQ697688.1.1523	0.725	0.0396321785862559	0.0377057178531623	0.0396321785862559	1	TRUE
depth_natural	Coastal_natural	EU662567.1.1446	KF460404.1.1524	0.71	0.0455646162995013	0.0435375911608167	0.0455646162995013	1	TRUE
depth_natural	Coastal_natural	AB364850.1.1498	HF922320.1.1505	0.71	0.0395711852771507	0.0377788124562403	0.0395711852771507	1	TRUE
depth_natural	Coastal_natural	KM203484.1.1200	LN563386.1.1350	0.67	0.0434122624790193	0.0408451605728962	0.0434122624790193	1	TRUE
depth_natural	Coastal_natural	AB806698.1.1488	EF687551.1.1333	0.67	0.0426487496383345	0.0418990016809723	0.0426487496383345	1	TRUE
depth_natural	Coastal_natural	DQ431903.1.1419	EF444653.1.1279	0.66	0.0377633675899842	0.0364747775410373	0.0377633675899842	1	TRUE
depth_natural	Coastal_natural	DQ070825.1.1419	KF460404.1.1524	0.65	0.0427626121061424	0.0404614338444133	0.0427626121061424	1	TRUE
depth_natural	Coastal_natural	DQ811807.1.1529	KX504856.1.1527	0.645	0.0454358406921966	0.0436132668951181	0.0454358406921966	1	TRUE
depth_natural	Coastal_natural	EF687551.1.1333	JQ580158.1.1515	0.635	0.0410653014316502	0.0390167069745342	0.0410653014316502	1	TRUE
depth_natural	Coastal_natural	DQ070827.1.1355	EF999356.1.1505	0.63	0.0423033263529912	0.0400905672007979	0.0423033263529912	1	TRUE
depth_natural	Coastal_natural	EU048674.1.1479	KX173276.1.1482	0.62	0.0419127198305752	0.0392080000307084	0.0419127198305752	1	TRUE
depth_natural	Coastal_natural	DQ811807.1.1529	HM598262.1.1519	0.615	0.0447911668408322	0.0431596445268124	0.0447911668408322	1	TRUE
depth_natural	Coastal_natural	EF999356.1.1505	FJ203584.1.1459	0.615	0.0418992037888664	0.0409108227173268	0.0418992037888664	1	TRUE
depth_natural	Coastal_natural	JF421166.1.1503	JN977195.1.1550	0.59	0.0429646699059506	0.0419512951226529	0.0429646699059506	1	TRUE
depth_natural	Coastal_natural	HQ014650.1.1499	JQ580330.1.1478	0.58	0.0408182811326105	0.040283102516424	0.0408182811326105	1	TRUE
depth_natural	Coastal_natural	DQ811807.1.1529	JQ580439.1.1531	0.57	0.0496543134365395	0.0472176409644273	0.0496543134365395	1	TRUE
depth_natural	Coastal_natural	FJ712534.1.1514	KX504856.1.1527	0.565	-0.0386891674844544	-0.0377183252713505	0.0386891674844544	0	TRUE
depth_natural	Coastal_natural	JQ580439.1.1531	KM356749.1.1483	0.56	0.0450981133624921	0.0414528269310001	0.0450981133624921	1	TRUE
depth_natural	Coastal_natural	EU134890.1.1383	GQ337314.1.1475	0.56	0.0446427962064703	0.0427723654451098	0.0446427962064703	1	TRUE
depth_natural	Coastal_natural	AY584740.1.1231	MG601262.1.1536	0.555	0.044133811760953	0.0420507984851573	0.044133811760953	1	TRUE
depth_natural	Coastal_natural	KX504856.1.1527	KY861742.1.1376	0.55	0.0433588962458541	0.0416236935649339	0.0433588962458541	1	TRUE
depth_natural	Coastal_natural	GQ337314.1.1475	KX504856.1.1527	0.55	0.0425640893550366	0.0427918058126737	0.0425640893550366	1	TRUE
depth_natural	Coastal_natural	GQ337314.1.1475	JQ580439.1.1531	0.545	0.0462928838934296	0.0453610625165319	0.0462928838934296	1	TRUE
depth_natural	Coastal_natural	JN977195.1.1550	KC009869.1.1401	0.545	0.0440914876058778	0.0416852654506246	0.0440914876058778	1	TRUE
depth_natural	Coastal_natural	EF208655.1.1533	JF344561.1.1519	0.54	0.0415519501219838	0.0403880616379003	0.0415519501219838	1	TRUE
depth_natural	Coastal_natural	AY913245.1.1415	FN553932.1.1517	0.54	0.0399829457250071	0.0393620698401663	0.0399829457250071	1	TRUE
depth_natural	Coastal_natural	HQ697688.1.1523	JQ580158.1.1515	0.54	0.0383139616886213	0.0377053917357535	0.0383139616886213	1	TRUE
depth_natural	Coastal_natural	FN553932.1.1517	KT905810.1.1538	0.535	0.0402983663131299	0.0394107335800565	0.0402983663131299	1	TRUE
depth_natural	Coastal_natural	DQ431899.1.1417	FJ517042.1.1485	0.53	0.0461316465891835	0.0432370232641985	0.0461316465891835	1	TRUE
depth_natural	Coastal_natural	HM598262.1.1519	KY861742.1.1376	0.53	0.0427760279234313	0.0410078095121518	0.0427760279234313	1	TRUE
depth_natural	Coastal_natural	EU491875.1.1464	LC121892.1.914	0.53	0.0406595477974371	0.0395144727371943	0.0406595477974371	1	TRUE
depth_natural	Coastal_natural	EF687551.1.1333	KR824977.1.1462	0.53	0.0384917287043045	0.0373578265909422	0.0384917287043045	1	TRUE
depth_natural	Coastal_natural	GQ263976.1.1455	HQ588453.1.1411	0.53	0.0383909110338878	0.0375665795103374	0.0383909110338878	1	TRUE
depth_natural	Coastal_natural	FJ712534.1.1514	HM598262.1.1519	0.53	-0.0383134810839132	-0.0379186533220019	0.0383134810839132	0	TRUE
depth_natural	Coastal_natural	AY913245.1.1415	KT905810.1.1538	0.525	0.0402428391325024	0.0393720451577887	0.0402428391325024	1	TRUE
depth_natural	Coastal_natural	GQ337314.1.1475	HM598262.1.1519	0.515	0.0423321369220112	0.0421149095921929	0.0423321369220112	1	TRUE
depth_natural	Coastal_natural	EF208655.1.1533	MGML01000116.8420.9921	0.515	0.0397311843297349	0.0387220962305144	0.0403266744133243	0.990291262135922	TRUE
depth_natural	Coastal_natural	KP762238.1.1208	KX504848.1.1523	0.515	-0.0372724803013198	-0.0369860795453922	0.0372724803013198	0	TRUE
depth_natural	Coastal_natural	GQ994182.1.911	KX172187.1.1456	0.51	0.0398519280963474	0.0396263625291583	0.0398519280963474	1	TRUE
depth_natural	Coastal_natural	EU652611.1.1524	KX504848.1.1523	0.51	-0.0372315204994543	-0.0372635835496499	0.0372315204994543	0	TRUE
depth_natural	Coastal_natural	FJ655689.1.1403	KX097089.1.1528	0.505	-0.0448568336944186	-0.045334944646685	0.0454184921170872	0.0099009900990099	TRUE
depth_natural	Coastal_natural	JQ580330.1.1478	KX504856.1.1527	0.505	0.0410005628970128	0.0401202166464033	0.0410005628970128	1	TRUE
depth_natural	Coastal_natural	HM598262.1.1519	JQ580330.1.1478	0.5	0.0403664370076008	0.039402822523607	0.0403664370076008	1	TRUE
depth_natural	Coastal_natural	HF922320.1.1505	JQ580158.1.1515	0.5	0.0380238502303356	0.037490984664824	0.0380238502303356	1	TRUE
depth_natural	Coastal_natural	HE604685.1.1406	JQ716269.1.1517	0.495	0.0382151857880799	0.036399386688603	0.0382151857880799	1	FALSE
depth_natural	Coastal_natural	EU134890.1.1383	JQ580439.1.1531	0.49	0.0526222524794601	0.0476897592437832	0.0526222524794601	1	FALSE
depth_natural	Coastal_natural	EU487975.1.1514	JX870311.1.915	0.49	0.0381917428292345	0.0373454608639987	0.0381917428292345	1	FALSE
depth_natural	Coastal_natural	DQ811792.1.1512	KP174553.1.1436	0.485	0.0359395591484075	0.0349467952259912	0.0359395591484075	1	FALSE
depth_natural	Coastal_natural	FJ203584.1.1459	JQ824907.1.1522	0.48	0.0413022706570762	0.0394919558321604	0.0413022706570762	1	FALSE
depth_natural	Coastal_natural	GQ994158.1.923	JQ816885.1.1488	0.48	0.0403255976452062	0.0405943654370933	0.0403255976452062	1	FALSE
depth_natural	Coastal_natural	JN977162.1.1541	LN569797.1.1343	0.48	0.0391695898626003	0.03859143085347	0.0391695898626003	1	FALSE
depth_natural	Coastal_natural	AB364850.1.1498	JQ580158.1.1515	0.48	0.0381185630215618	0.0375570049031281	0.0381185630215618	1	FALSE
depth_natural	Coastal_natural	GQ356834.1.936	KX504848.1.1523	0.47	-0.0370196140496633	-0.0369367774880327	0.0370196140496633	0	FALSE
depth_natural	Coastal_natural	KM108644.1.1515	KY441460.1.1524	0.465	0.041442597369902	0.0389489738665896	0.041442597369902	1	FALSE
depth_natural	Coastal_natural	HQ014650.1.1499	JQ580439.1.1531	0.465	0.0408422269975451	0.0395531144865764	0.0408422269975451	1	FALSE
depth_natural	Coastal_natural	HE604685.1.1406	KP728222.1.1525	0.465	0.0378694630041892	0.0367075951746907	0.0378694630041892	1	FALSE
depth_natural	Coastal_natural	FJ655689.1.1403	JF268389.1.1458	0.46	0.0467118005056066	0.0444228218339129	0.0467118005056066	1	FALSE
depth_natural	Coastal_natural	JQ580439.1.1531	KX504856.1.1527	0.46	0.043242507278166	0.0420356454640076	0.043242507278166	1	FALSE
depth_natural	Coastal_natural	KC009869.1.1401	KY441460.1.1524	0.455	0.041244722474346	0.0390973026887785	0.041244722474346	1	FALSE
depth_natural	Coastal_natural	DQ811831.1.1528	JF344478.1.1502	0.455	0.0408305544446457	0.0390971940715837	0.0408305544446457	1	FALSE
depth_natural	Coastal_natural	EF208655.1.1533	HE803898.1.1484	0.455	0.0397220803113032	0.0386430003814373	0.0397220803113032	1	FALSE
depth_natural	Coastal_natural	DQ811880.1.1473	GU982895.1.1212	0.455	0.0361884587685444	0.0362817898794143	0.0361884587685444	1	FALSE
depth_natural	Coastal_natural	DQ811807.1.1529	GQ337314.1.1475	0.45	0.0421067033313999	0.0410140326498474	0.0421067033313999	1	FALSE
depth_natural	Coastal_natural	AY216453.1.1421	KF460404.1.1524	0.44	0.04927749765188	0.0448842482833089	0.04927749765188	1	FALSE
depth_natural	Coastal_natural	JQ816885.1.1488	KC471044.1.1422	0.44	-0.0385906288090933	-0.0371801271054491	0.0385906288090933	0	FALSE
depth_natural	Coastal_natural	GU369933.1.1368	JQ580309.1.1482	0.44	0.0381790297651655	0.0377782544577438	0.0381790297651655	1	FALSE
depth_natural	Coastal_natural	JF344665.1.1520	JX227640.1.1459	0.435	0.0437260087180791	0.0397291125398956	0.0437260087180791	1	FALSE
depth_natural	Coastal_natural	DQ811935.1.1507	JF268389.1.1458	0.435	0.0428189502646078	0.0423194798647951	0.0428189502646078	1	FALSE
depth_natural	Coastal_natural	GQ249585.1.1531	MGML01000116.8420.9921	0.435	0.0392710128659783	0.0378335003119975	0.0392710128659783	1	FALSE
depth_natural	Coastal_natural	HQ597894.1.1508	LN569797.1.1343	0.435	0.0392164488066018	0.0387182747264323	0.0392164488066018	1	FALSE
depth_natural	Coastal_natural	HQ597894.1.1508	JN977162.1.1541	0.43	0.0391418232639431	0.038806102410887	0.0391418232639431	1	FALSE
depth_natural	Coastal_natural	JQ580439.1.1531	KC009869.1.1401	0.425	0.0492486552372964	0.0459493824153593	0.0492486552372964	1	FALSE
depth_natural	Coastal_natural	AB806729.1.1479	EU134890.1.1383	0.425	0.0419653634467063	0.0405969109590351	0.0419653634467063	1	FALSE
depth_natural	Coastal_natural	DQ431899.1.1417	JQ580221.1.1496	0.425	0.0408122460652201	0.0397126298995573	0.0408122460652201	1	FALSE
depth_natural	Coastal_natural	HQ738402.1.1458	KX172552.1.1464	0.425	0.0402000411668337	0.0384844843447798	0.0402000411668337	1	FALSE
depth_natural	Coastal_natural	HQ014650.1.1499	KX504856.1.1527	0.425	0.0395543428911302	0.0387365125870247	0.0395543428911302	1	FALSE
depth_natural	Coastal_natural	KM203484.1.1200	KX097089.1.1528	0.425	-0.0390636737807132	-0.0381447009187045	0.0390636737807132	0	FALSE
depth_natural	Coastal_natural	DQ070825.1.1419	KX172521.1.1480	0.425	0.0387828517651759	0.0376429404639503	0.0387828517651759	1	FALSE
depth_natural	Coastal_natural	GQ850571.1.1477	JF344478.1.1502	0.42	0.0457360087719415	0.0439714397297099	0.0457360087719415	1	FALSE
depth_natural	Coastal_natural	DQ811807.1.1529	JQ580330.1.1478	0.42	0.0411225044288307	0.0401774286503154	0.0411225044288307	1	FALSE
depth_natural	Coastal_natural	EU048674.1.1479	FJ655689.1.1403	0.415	0.0440410673273214	0.042981553121146	0.0440410673273214	1	FALSE
depth_natural	Coastal_natural	AB806727.1.1479	JQ817984.1.1485	0.415	0.0371605392874889	0.0372334879403374	0.0371605392874889	1	FALSE
depth_natural	Coastal_natural	HM598262.1.1519	JQ580439.1.1531	0.41	0.0429671810860777	0.0422077751126079	0.0429671810860777	1	FALSE
depth_natural	Coastal_natural	EU491875.1.1464	FJ455958.1.911	0.41	0.0418270587949006	0.0398329527474491	0.0418270587949006	1	FALSE
depth_natural	Coastal_natural	EU048674.1.1479	KX097089.1.1528	0.41	-0.041556391965363	-0.0405302397900691	0.041556391965363	0	FALSE
depth_natural	Coastal_natural	FJ455958.1.911	HM798748.1.1422	0.41	0.0410183987677832	0.0393672149887257	0.0410183987677832	1	FALSE
depth_natural	Coastal_natural	EF999356.1.1505	JQ824907.1.1522	0.41	0.0402840624665191	0.0380475173322261	0.0402840624665191	1	FALSE
depth_natural	Coastal_natural	GQ337314.1.1475	JQ580330.1.1478	0.41	0.0392799001783593	0.0387471122711709	0.0392799001783593	1	FALSE
depth_natural	Coastal_natural	DQ431896.1.1372	KJ817459.1.1525	0.41	-0.037185226961909	-0.0362831475897041	0.037185226961909	0	FALSE
depth_natural	Coastal_natural	EF125426.1.1479	FJ748775.1.1510	0.41	0.0364624205865479	0.0365803266456145	0.0364624205865479	1	FALSE
depth_natural	Coastal_natural	DQ811935.1.1507	EU048674.1.1479	0.405	0.0404545119793818	0.0398028208302205	0.0404545119793818	1	FALSE
depth_natural	Coastal_natural	AB622941.1.1314	KX172552.1.1464	0.405	0.0403720979067966	0.0391676619371141	0.0403720979067966	1	FALSE
depth_natural	Coastal_natural	EU662567.1.1446	JN977174.1.1546	0.405	0.0396470091782862	0.038324111953964	0.0396470091782862	1	FALSE
depth_natural	Coastal_natural	KX097089.1.1528	LN563386.1.1350	0.405	-0.0391382493862986	-0.0382885620251973	0.0391382493862986	0	FALSE
depth_natural	Coastal_natural	HQ738402.1.1458	KM356611.1.1422	0.405	0.0379189848512287	0.0376415107893496	0.0379189848512287	1	FALSE
depth_natural	Coastal_natural	AY584740.1.1231	KX097089.1.1528	0.4	-0.0425984649578141	-0.0415814457408048	0.0425984649578141	0	FALSE
depth_natural	Coastal_natural	AM882621.1.1521	GQ249585.1.1531	0.4	0.0400653211199855	0.0395945238704736	0.0400653211199855	1	FALSE
depth_natural	Coastal_natural	HM798748.1.1422	JQ580309.1.1482	0.4	-0.0400239174790886	-0.0388923741199736	0.0400239174790886	0	FALSE
depth_natural	Coastal_natural	FJ517042.1.1485	JQ245921.1.944	0.395	0.044889479791805	0.0422689837981716	0.044889479791805	1	FALSE
depth_natural	Coastal_natural	KC471044.1.1422	KF460404.1.1524	0.395	0.0428113522433853	0.040780792822585	0.0428113522433853	1	FALSE
depth_natural	Coastal_natural	JF268389.1.1458	KX097089.1.1528	0.395	-0.0427687045431476	-0.0418581601018021	0.0427687045431476	0	FALSE
depth_natural	Coastal_natural	AY216453.1.1421	KC009877.1.1515	0.39	0.042600384200825	0.0408780094125148	0.042600384200825	1	FALSE
depth_natural	Coastal_natural	FJ905762.1.1411	KJ817493.1.1525	0.39	-0.0413273000713647	-0.039499125221567	0.0413273000713647	0	FALSE
depth_natural	Coastal_natural	EU134890.1.1383	HE803898.1.1484	0.39	0.0403262674632886	0.0396812489099078	0.0403262674632886	1	FALSE
depth_natural	Coastal_natural	DQ070827.1.1355	FJ203584.1.1459	0.39	0.0390921672590072	0.0376461714341687	0.0390921672590072	1	FALSE
depth_natural	Coastal_natural	EU488054.1.1507	KF616783.1.1488	0.39	0.0388244305785567	0.0384936774857097	0.0388244305785567	1	FALSE
depth_natural	Coastal_natural	JF344665.1.1520	JX504490.1.1557	0.39	0.0377277298762293	0.0375024368641605	0.0377277298762293	1	FALSE
depth_natural	Coastal_natural	JQ580330.1.1478	JQ580439.1.1531	0.385	0.0407385551646962	0.0399489460555282	0.0407385551646962	1	FALSE
depth_natural	Coastal_natural	EF208655.1.1533	JQ816305.1.1426	0.385	0.0390915578197054	0.03925081115443	0.0390915578197054	1	FALSE
