removal_fraction	largest_component_fraction_original_nodes	dataset	network_group	bootstrap_id	attack_mode
0	0.38	depth_natural	Coastal_natural	1	random
0.05	0.36	depth_natural	Coastal_natural	1	random
0.1	0.34	depth_natural	Coastal_natural	1	random
0.15	0.305	depth_natural	Coastal_natural	1	random
0.2	0.22	depth_natural	Coastal_natural	1	random
0.25	0.205	depth_natural	Coastal_natural	1	random
0.3	0.18	depth_natural	Coastal_natural	1	random
0.35	0.125	depth_natural	Coastal_natural	1	random
0.4	0.06	depth_natural	Coastal_natural	1	random
0.45	0.055	depth_natural	Coastal_natural	1	random
0.5	0.055	depth_natural	Coastal_natural	1	random
0.55	0.045	depth_natural	Coastal_natural	1	random
0.6	0.035	depth_natural	Coastal_natural	1	random
0.65	0.035	depth_natural	Coastal_natural	1	random
0.7	0.025	depth_natural	Coastal_natural	1	random
0.75	0.025	depth_natural	Coastal_natural	1	random
0.8	0.02	depth_natural	Coastal_natural	1	random
0.85	0.015	depth_natural	Coastal_natural	1	random
0.9	0.015	depth_natural	Coastal_natural	1	random
0.95	0.01	depth_natural	Coastal_natural	1	random
1	0	depth_natural	Coastal_natural	1	random
0	0.38	depth_natural	Coastal_natural	1	targeted
0.05	0.115	depth_natural	Coastal_natural	1	targeted
0.1	0.07	depth_natural	Coastal_natural	1	targeted
0.15	0.07	depth_natural	Coastal_natural	1	targeted
0.2	0.065	depth_natural	Coastal_natural	1	targeted
0.25	0.065	depth_natural	Coastal_natural	1	targeted
0.3	0.04	depth_natural	Coastal_natural	1	targeted
0.35	0.04	depth_natural	Coastal_natural	1	targeted
0.4	0.03	depth_natural	Coastal_natural	1	targeted
0.45	0.02	depth_natural	Coastal_natural	1	targeted
0.5	0.015	depth_natural	Coastal_natural	1	targeted
0.55	0.01	depth_natural	Coastal_natural	1	targeted
0.6	0.01	depth_natural	Coastal_natural	1	targeted
0.65	0.01	depth_natural	Coastal_natural	1	targeted
0.7	0.005	depth_natural	Coastal_natural	1	targeted
0.75	0.005	depth_natural	Coastal_natural	1	targeted
0.8	0.005	depth_natural	Coastal_natural	1	targeted
0.85	0.005	depth_natural	Coastal_natural	1	targeted
0.9	0.005	depth_natural	Coastal_natural	1	targeted
0.95	0.005	depth_natural	Coastal_natural	1	targeted
1	0	depth_natural	Coastal_natural	1	targeted
0	0.715	depth_natural	Coastal_natural	2	random
0.05	0.64	depth_natural	Coastal_natural	2	random
0.1	0.615	depth_natural	Coastal_natural	2	random
0.15	0.56	depth_natural	Coastal_natural	2	random
0.2	0.525	depth_natural	Coastal_natural	2	random
0.25	0.48	depth_natural	Coastal_natural	2	random
0.3	0.43	depth_natural	Coastal_natural	2	random
0.35	0.385	depth_natural	Coastal_natural	2	random
0.4	0.35	depth_natural	Coastal_natural	2	random
0.45	0.335	depth_natural	Coastal_natural	2	random
