Depths	Mangrove.system	qs	means	sd
1	Deep	Fossil Lagoon	q0=Observed	1449.33333333333	141.073975866092
2	Deep	Fossil Lagoon	q1=Exp Shannon	310.347033107355	68.6561876989347
3	Deep	Fossil Lagoon	q2=Inv Simpson	93.8108214402349	36.5417340251305
4	Deep	San Pedro River	q0=Observed	1611.27777777778	340.76485001616
5	Deep	San Pedro River	q1=Exp Shannon	341.502960254287	117.312707665516
6	Deep	San Pedro River	q2=Inv Simpson	106.214385001776	49.9419960761766
7	Deep	Términos Lagoon	q0=Observed	152.4	54.5554763520584
8	Deep	Términos Lagoon	q1=Exp Shannon	41.4478765011023	25.8396433557291
9	Deep	Términos Lagoon	q2=Inv Simpson	13.8698117394417	9.72987531991078
10	Surface	Fossil Lagoon	q0=Observed	1230	134.057201721255
11	Surface	Fossil Lagoon	q1=Exp Shannon	299.954436961305	75.0891991756062
12	Surface	Fossil Lagoon	q2=Inv Simpson	86.5239754417822	26.9181577647571
13	Surface	San Pedro River	q0=Observed	1430.55555555556	191.480489287493
14	Surface	San Pedro River	q1=Exp Shannon	290.633992782358	118.202455291982
15	Surface	San Pedro River	q2=Inv Simpson	85.746654163423	45.3456384924621
16	Surface	Términos Lagoon	q0=Observed	140	61.7980582219215
17	Surface	Términos Lagoon	q1=Exp Shannon	78.7832312387613	48.869444954653
18	Surface	Términos Lagoon	q2=Inv Simpson	51.1679444895184	32.6834470270844
19	mid	Fossil Lagoon	q0=Observed	1393.5	155.55813489925
20	mid	Fossil Lagoon	q1=Exp Shannon	385.580277396613	84.358836876901
21	mid	Fossil Lagoon	q2=Inv Simpson	135.780747241796	38.7850793266052
22	mid	San Pedro River	q0=Observed	1560.44444444444	246.969183862639
23	mid	San Pedro River	q1=Exp Shannon	356.818010670455	107.984695069861
24	mid	San Pedro River	q2=Inv Simpson	117.878491384608	45.0180150366604
25	mid	Términos Lagoon	q0=Observed	150	35.5457451743524
26	mid	Términos Lagoon	q1=Exp Shannon	55.1549669383737	39.6715071351136
27	mid	Términos Lagoon	q2=Inv Simpson	28.3320929079086	24.827668564781
