Depths	Mangrove.system	qs	means	sd
1	Deep	Fossil Lagoon	q0=Observed	1449.33333333333	141.073975866092
2	Deep	Fossil Lagoon	q1=Exp Shannon	310.34703310857	68.6561876951053
3	Deep	Fossil Lagoon	q2=Inv Simpson	93.8108214402349	36.5417340251304
4	Deep	San Pedro River	q0=Observed	1611.27777777778	340.76485001616
5	Deep	San Pedro River	q1=Exp Shannon	341.502960242023	117.312707677615
6	Deep	San Pedro River	q2=Inv Simpson	106.214385001776	49.9419960761765
7	Deep	Términos Lagoon	q0=Observed	152.4	54.5554763520584
8	Deep	Términos Lagoon	q1=Exp Shannon	41.4478764999022	25.8396433555283
9	Deep	Términos Lagoon	q2=Inv Simpson	13.8698117394417	9.72987531991077
10	Mid	Fossil Lagoon	q0=Observed	1393.5	155.55813489925
11	Mid	Fossil Lagoon	q1=Exp Shannon	385.580277395825	84.3588368623593
12	Mid	Fossil Lagoon	q2=Inv Simpson	135.780747241796	38.7850793266054
13	Mid	San Pedro River	q0=Observed	1560.44444444444	246.969183862639
14	Mid	San Pedro River	q1=Exp Shannon	356.818010642572	107.984695035913
15	Mid	San Pedro River	q2=Inv Simpson	117.878491384608	45.0180150366602
16	Mid	Términos Lagoon	q0=Observed	150	35.5457451743524
17	Mid	Términos Lagoon	q1=Exp Shannon	55.1549669406637	39.6715071380134
18	Mid	Términos Lagoon	q2=Inv Simpson	28.3320929079086	24.8276685647809
19	Surface	Fossil Lagoon	q0=Observed	1230	134.057201721255
20	Surface	Fossil Lagoon	q1=Exp Shannon	299.954437012168	75.0891992395865
21	Surface	Fossil Lagoon	q2=Inv Simpson	86.5239754417822	26.9181577647571
22	Surface	San Pedro River	q0=Observed	1430.55555555556	191.480489287493
23	Surface	San Pedro River	q1=Exp Shannon	290.633992735304	118.202455232065
24	Surface	San Pedro River	q2=Inv Simpson	85.746654163423	45.3456384924621
25	Surface	Términos Lagoon	q0=Observed	140	61.7980582219215
26	Surface	Términos Lagoon	q1=Exp Shannon	78.783231239837	48.8694449560084
27	Surface	Términos Lagoon	q2=Inv Simpson	51.1679444895184	32.6834470270844
