"Metric","Mangrove.system","Depths","emmean","SE","lower.CL","upper.CL","Significance"
"q0","Términos Lagoon","Surface",968.688,257.846,451.515,1485.862," a"
"q0","Fossil Lagoon","Surface",1187.121,107.057,972.391,1401.85," a"
"q0","San Pedro River","Surface",1409.439,71.177,1266.677,1552.201," a"
"q0","Términos Lagoon","Mid",900.2,226.212,446.475,1353.924," a "
"q0","Fossil Lagoon","Mid",1346.907,107.173,1131.944,1561.869," ab"
"q0","San Pedro River","Mid",1515.607,71.994,1371.205,1660.01,"  b"
"q0","Términos Lagoon","Deep",898.423,225.176,446.776,1350.069," a "
"q0","Fossil Lagoon","Deep",1439.508,86.927,1265.154,1613.862," ab"
"q0","San Pedro River","Deep",1544.82,53.356,1437.801,1651.838,"  b"
"q1","Términos Lagoon","Surface",39.671,119.223,-199.461,278.802," a"
"q1","San Pedro River","Surface",291.631,32.911,225.62,357.641," a"
"q1","Fossil Lagoon","Surface",301.978,49.501,202.691,401.265," a"
"q1","Términos Lagoon","Mid",19.747,104.597,-190.047,229.541," a "
"q1","San Pedro River","Mid",358.934,33.289,292.165,425.703,"  b"
"q1","Fossil Lagoon","Mid",387.779,49.555,288.385,487.174,"  b"
"q1","Términos Lagoon","Deep",6.237,104.118,-202.596,215.07," a "
"q1","Fossil Lagoon","Deep",310.811,40.194,230.193,391.429,"  b"
"q1","San Pedro River","Deep",344.64,24.671,295.156,394.123,"  b"
"q2","Términos Lagoon","Surface",2.281,50.285,-98.578,103.14," a"
"q2","San Pedro River","Surface",86.992,13.881,59.151,114.834," a"
"q2","Fossil Lagoon","Surface",89.054,20.878,47.177,130.93," a"
"q2","Términos Lagoon","Mid",-15.925,44.116,-104.41,72.561," a "
"q2","San Pedro River","Mid",120.524,14.04,92.362,148.685,"  b"
"q2","Fossil Lagoon","Mid",138.529,20.901,96.608,180.451,"  b"
"q2","Términos Lagoon","Deep",-30.14,43.914,-118.22,57.939," a "
"q2","Fossil Lagoon","Deep",94.39,16.952,60.388,128.393,"  b"
"q2","San Pedro River","Deep",110.135,10.405,89.264,131.006,"  b"
