"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"FN398053.1.1489","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"FR667789.1.1446","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Micropepsaceae","uncultured_bacterium"
"EU491142.1.1523","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae","uncultured_actinobacterium"
"DQ351750.1.1510","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",NA
"KX768747.1.1475","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"GU118430.1.1484","Fossil Lagoon","d__Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales","Dadabacteriales",NA
"JQ989640.1.1399","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_archaeon"
"GU270117.1.914","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","uncultured","uncultured","uncultured","uncultured_archaeon"
"KP943977.1.1502","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Candidatus_Thiosymbion","gamma_proteobacterium"
"KC631538.1.1551","Fossil Lagoon","d__Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","uncultured_Gemmatimonadetes"
"JN524025.1.1396","Fossil Lagoon","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas","uncultured_organism"
"HQ216273.1.1242","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"HE985084.1.1483","Fossil Lagoon","d__Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospirae"
"JX441454.1.1436","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","uncultured","uncultured","uncultured_bacterium"
"GQ143793.1.1543","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4","uncultured_bacterium"
"JN483938.1.1414","Fossil Lagoon","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",NA
"FJ516839.1.1475","Fossil Lagoon","d__Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","uncultured_delta"
"FN553627.1.1510","Fossil Lagoon","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_sediment"
"JF495315.1.1511","Fossil Lagoon","d__Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21","uncultured_bacterium"
"JQ989441.1.1437","Fossil Lagoon","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"FJ264678.1.1469","Fossil Lagoon","d__Bacteria","Chloroflexi","Dehalococcoidia","MSBL5","MSBL5","MSBL5","uncultured_organism"
"EU420697.1.1454","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA
"AF354161.1.1421","Fossil Lagoon","d__Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calditrichaceae",NA
"HQ857691.1.1467","Fossil Lagoon","d__Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722","AKYG1722","uncultured_bacterium"
"MG601418.1.1274","Fossil Lagoon","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","uncultured_sediment"
"EF208657.1.1525","Fossil Lagoon","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium"
"JN468962.1.1396","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA,NA
"JN539362.1.1468","Fossil Lagoon","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae",NA,NA
"EU399548.1.1425","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium","uncultured_Marinobacterium"
"JQ800988.1.1504","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","uncultured_bacterium"
"HF922241.1.1358","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA
"EU592418.1.1537","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"FJ873312.1.1418","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4","uncultured_bacterium"
