SampleID	q0	q1	q2	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove.system	Mangrove_type
1	S1A015	1266	330.184514948947	105.966167344478	2023-09-28	0-15	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
2	S1B07	1502	164.068937864149	35.9834211484148	2023-09-28	0-15	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
3	S2A515	1708	463.034426222052	161.320599859643	2023-09-28	0-15	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
4	S2B07	1378	351.407257508166	106.812293594456	2023-09-28	0-15	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
5	S3A07	1190	154.370812193452	37.5947147770445	2023-09-28	0-15	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
6	S3B515	1588	371.925332365113	108.32991034927	2023-09-28	0-15	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
7	S4B07	1563	387.597217869146	120.376528440086	2023-09-29	0-15	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
8	S5A07	1160	131.373637914061	32.14982388532	2023-09-29	0-15	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
9	S5B07	1520	261.743797732649	63.186428072095	2023-09-29	0-15	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior
10	S6A07	1271	323.438416309749	100.695008036304	2023-09-30	0-15	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior
11	S6B07	1081	197.20738891941	51.2459463710783	2023-09-30	0-15	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior
12	S7A07	1394	376.092089489386	112.977968991559	2023-09-30	0-15	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior
13	S7B07	1174	303.079853330128	81.1769783681879	2023-09-30	0-15	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior
14	SRR9973320	1436	646.376755436973	321.667108794171	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
15	SRR9973321	1206	444.354754510968	205.168278211649	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
16	SRR9973322	1117	492.925641233271	225.634461097156	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
17	SRR9973323	935	364.328245844193	178.712765780427	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
18	SRR9973324	1253	504.139894905986	242.270062100936	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
19	SRR9973326	868	392.044431941218	194.977404391233	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
20	SRR9973327	1287	537.934166661765	229.932549380994	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
21	SRR9973331	1378	584.514142320799	276.092453877557	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
22	SRR9973332	951	405.777836180505	201.805155241876	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
23	SRR9973344	1449	566.736893980462	247.441629211717	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
24	SRR9973347	1342	518.077970727114	245.221180848717	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood	Celestún Lagoon	Coastal
25	zr2502_14_R1.fastq.gz	205	116.517221457368	69.5174167691771	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Coastal
26	zr2502_1_R1.fastq.gz	133	96.2526109778525	70.5533266944327	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Coastal
27	zr2502_37_R1.fastq.gz	82	23.5798612842904	13.4330900049455	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Coastal
