"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"KP091219.1.1529","Celestún Lagoon","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"HE804009.1.1478","Celestún Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae","uncultured_bacterium"
"JF344529.1.1525","Celestún Lagoon","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"JX226932.1.1507","Celestún Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"KC631538.1.1551","Celestún Lagoon","d__Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","uncultured_Gemmatimonadetes"
"AB805915.1.1495","Celestún Lagoon","d__Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"EF125528.1.923","Celestún Lagoon","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae",NA
"JQ347332.1.1494","Celestún Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","MBAE14","MBAE14","MBAE14",NA
"GQ927642.1.914","Celestún Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_archaeon"
"KJ566455.1.988","Celestún Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","archaeon_RBG_16_50_20"
"AY114317.1.1421","Celestún Lagoon","d__Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","WCHB1-41","WCHB1-41","uncultured_Verrucomicrobia"
"FJ477318.1.1366","Celestún Lagoon","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"AB807149.1.1448","Celestún Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Z195MB87","uncultured_planctomycete"
"JN495126.1.1334","Celestún Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8","uncultured_organism"
