Depths	Mangrove_system	Mangrove_type	qs	means	sd
1	Deep	Fossil Lagoon	Interior	q0=Observed	1449.33333333333	141.073975866092
2	Deep	Fossil Lagoon	Interior	q1=Exp Shannon	310.34703310857	68.6561876951053
3	Deep	Fossil Lagoon	Interior	q2=Inv Simpson	93.8108214402349	36.5417340251304
4	Deep	Impaired Términos Lagoon	Coastal	q0=Observed	240.333333333333	64.4541180479055
5	Deep	Impaired Términos Lagoon	Coastal	q1=Exp Shannon	104.987037459493	37.195263631198
6	Deep	Impaired Términos Lagoon	Coastal	q2=Inv Simpson	44.8961999991408	24.2568649885133
7	Deep	San Pedro River	Interior	q0=Observed	1611.27777777778	340.76485001616
8	Deep	San Pedro River	Interior	q1=Exp Shannon	341.502960242023	117.312707677615
9	Deep	San Pedro River	Interior	q2=Inv Simpson	106.214385001776	49.9419960761765
10	Mid	Fossil Lagoon	Interior	q0=Observed	1393.5	155.55813489925
11	Mid	Fossil Lagoon	Interior	q1=Exp Shannon	385.580277395825	84.3588368623593
12	Mid	Fossil Lagoon	Interior	q2=Inv Simpson	135.780747241796	38.7850793266054
13	Mid	Impaired Términos Lagoon	Coastal	q0=Observed	188.666666666667	35.3600527903075
14	Mid	Impaired Términos Lagoon	Coastal	q1=Exp Shannon	94.4975614083216	18.7414934965047
15	Mid	Impaired Términos Lagoon	Coastal	q2=Inv Simpson	42.2941522718306	12.326412206907
16	Mid	San Pedro River	Interior	q0=Observed	1560.44444444444	246.969183862639
17	Mid	San Pedro River	Interior	q1=Exp Shannon	356.818010642572	107.984695035913
18	Mid	San Pedro River	Interior	q2=Inv Simpson	117.878491384608	45.0180150366602
19	Surface	Fossil Lagoon	Interior	q0=Observed	1230	134.057201721255
20	Surface	Fossil Lagoon	Interior	q1=Exp Shannon	299.954437012168	75.0891992395865
21	Surface	Fossil Lagoon	Interior	q2=Inv Simpson	86.5239754417822	26.9181577647571
22	Surface	Impaired Términos Lagoon	Coastal	q0=Observed	216.333333333333	86.1993812816155
23	Surface	Impaired Términos Lagoon	Coastal	q1=Exp Shannon	112.701520072641	68.5375660226754
24	Surface	Impaired Términos Lagoon	Coastal	q2=Inv Simpson	69.4085391685732	46.8099627669826
25	Surface	San Pedro River	Interior	q0=Observed	1430.55555555556	191.480489287493
26	Surface	San Pedro River	Interior	q1=Exp Shannon	290.633992735304	118.202455232065
27	Surface	San Pedro River	Interior	q2=Inv Simpson	85.746654163423	45.3456384924621
