Depths	Mangrove_type	qs	means	sd
1	Deep	Coastal	q0=Observed	240.333333333333	64.4541180479055
2	Deep	Coastal	q1=Exp Shannon	104.987037459493	37.195263631198
3	Deep	Coastal	q2=Inv Simpson	44.8961999991408	24.2568649885133
4	Deep	Interior	q0=Observed	1570.79166666667	308.684301817254
5	Deep	Interior	q1=Exp Shannon	333.71397845866	106.708682489573
6	Deep	Interior	q2=Inv Simpson	103.113494111391	46.518000211077
7	Mid	Coastal	q0=Observed	188.666666666667	35.3600527903075
8	Mid	Coastal	q1=Exp Shannon	94.4975614083216	18.7414934965047
9	Mid	Coastal	q2=Inv Simpson	42.2941522718306	12.326412206907
10	Mid	Interior	q0=Observed	1509.07692307692	230.529268401528
11	Mid	Interior	q1=Exp Shannon	365.667938874342	98.710726762279
12	Mid	Interior	q2=Inv Simpson	123.386877802204	42.4394995306196
13	Surface	Coastal	q0=Observed	216.333333333333	86.1993812816155
14	Surface	Coastal	q1=Exp Shannon	112.701520072641	68.5375660226754
15	Surface	Coastal	q2=Inv Simpson	69.4085391685732	46.8099627669826
16	Surface	Interior	q0=Observed	1368.84615384615	195.494606129277
17	Surface	Interior	q1=Exp Shannon	293.50182174357	103.654189445257
18	Surface	Interior	q2=Inv Simpson	85.9858299413797	39.3967536125026
