"Metric","Factor","Contrast","Estimate","SE","df","t.ratio","p.value"
"q0","Mangrove_system","Impaired Términos Lagoon - Fossil Lagoon",-392.428,231.841,48.875,-1.693,"0.2182"
"q0","Mangrove_system","Impaired Términos Lagoon - San Pedro River",-559.311,225.934,51.833,-2.476,"0.0432"
"q0","Mangrove_system","Fossil Lagoon - San Pedro River",-166.883,102.848,13.039,-1.623,"0.2713"
"q1","Mangrove_system","Impaired Términos Lagoon - Fossil Lagoon",-256.489,117.374,51.156,-2.185,"0.0834"
"q1","Mangrove_system","Impaired Términos Lagoon - San Pedro River",-263.842,115.576,52.726,-2.283,"0.0671"
"q1","Mangrove_system","Fossil Lagoon - San Pedro River",-7.353,45.913,13.058,-0.16,"0.9860"
"q2","Mangrove_system","Impaired Términos Lagoon - Fossil Lagoon",-50.919,23.518,14.893,-2.165,"0.1104"
"q2","Mangrove_system","Impaired Términos Lagoon - San Pedro River",-52.382,20.547,15.008,-2.549,"0.0547"
"q2","Mangrove_system","Fossil Lagoon - San Pedro River",-1.463,17.988,13.266,-0.081,"0.9964"
"q0","Depth","Surface - Mid",-105.079,52.022,40.014,-2.02,"0.1205"
"q0","Depth","Surface - Deep",-135.9,47.174,40.228,-2.881,"0.0170"
"q0","Depth","Mid - Deep",-30.821,47.057,40.196,-0.655,"0.7906"
"q1","Depth","Surface - Mid",-55.393,27.966,40.028,-1.981,"0.1301"
"q1","Depth","Surface - Deep",-30.662,25.35,40.325,-1.21,"0.4545"
"q1","Depth","Mid - Deep",24.731,25.289,40.282,0.978,"0.5948"
"q2","Depth","Surface - Mid",-25.304,13.314,41.037,-1.901,"0.1514"
"q2","Depth","Surface - Deep",-9.245,11.961,41.2,-0.773,"0.7215"
"q2","Depth","Mid - Deep",16.059,11.961,41.2,1.343,"0.3802"
