"Metric","Factor","Level","emmean","SE","df","lower.CL","upper.CL","Significance"
"q0","Mangrove_system","Impaired Términos Lagoon",949.036,212.533,52.777,522.706,1375.366,"a"
"q0","Mangrove_system","Fossil Lagoon",1341.464,85.994,13.281,1156.084,1526.844,"ab"
"q0","Mangrove_system","San Pedro River",1508.347,57.179,13.147,1384.96,1631.734,"b"
"q1","Mangrove_system","Impaired Términos Lagoon",69.735,109.394,52.999,-149.682,289.152,"a"
"q1","Mangrove_system","Fossil Lagoon",326.224,38.47,13.398,243.366,409.082,"a"
"q1","Mangrove_system","San Pedro River",333.577,25.549,13.209,278.47,388.685,"a"
"q2","Mangrove_system","Impaired Términos Lagoon",52.2,18.011,15.733,13.964,90.435,"a"
"q2","Mangrove_system","Fossil Lagoon",103.119,15.122,13.797,70.64,135.598,"a"
"q2","Mangrove_system","San Pedro River",104.581,9.887,12.896,83.205,125.958,"a"
"q0","Depth","Surface",1185.956,83.745,49.342,1017.693,1354.219,"a"
"q0","Depth","Mid",1291.035,83.061,49.059,1124.123,1457.948,"ab"
"q0","Depth","Deep",1321.856,76.462,45.166,1167.869,1475.843,"b"
"q1","Depth","Surface",214.493,42.445,51.793,129.314,299.673,"a"
"q1","Depth","Deep",245.156,38.334,49.177,168.127,322.184,"a"
"q1","Depth","Mid",269.887,42.062,51.651,185.469,354.305,"a"
"q2","Depth","Surface",75.117,11.553,38.595,51.74,98.493,"a"
"q2","Depth","Deep",84.362,10.267,28.085,63.335,105.389,"a"
"q2","Depth","Mid",100.421,11.553,38.595,77.044,123.798,"a"
