Depth	Site	Location	qs	means	sd
1	1	Site_1	Miguelito Dike	q0=Observed	2639	526.087445202791
2	1	Site_1	Miguelito Dike	q0f=PD Faith	198.317700185543	37.2783963020898
3	1	Site_1	Miguelito Dike	q1=Exp Shannon	472.719667101785	153.163707745112
4	1	Site_1	Miguelito Dike	q2=Inv Simpson	117.74744965192	77.4398928406186
5	1	Site_2	Miguelito Dike	q0=Observed	3141.5	771.453498274523
6	1	Site_2	Miguelito Dike	q0f=PD Faith	224.008158293064	40.3590206497894
7	1	Site_2	Miguelito Dike	q1=Exp Shannon	941.331210830364	338.793834029101
8	1	Site_2	Miguelito Dike	q2=Inv Simpson	287.879574183527	115.63663922245
9	1	Site_3	Miguelito Dike	q0=Observed	2771	780.645886429949
10	1	Site_3	Miguelito Dike	q0f=PD Faith	211.159756089463	41.893558921045
11	1	Site_3	Miguelito Dike	q1=Exp Shannon	612.433424931187	428.577105469883
12	1	Site_3	Miguelito Dike	q2=Inv Simpson	150.384852376823	123.02254376427
13	1	Site_4	Reforma Waterfalls	q0=Observed	3009	NA
14	1	Site_4	Reforma Waterfalls	q0f=PD Faith	213.430273684458	NA
15	1	Site_4	Reforma Waterfalls	q1=Exp Shannon	815.329599703304	NA
16	1	Site_4	Reforma Waterfalls	q2=Inv Simpson	225.349727611246	NA
17	1	Site_5	Reforma Waterfalls	q0=Observed	2474.5	586.191521603648
18	1	Site_5	Reforma Waterfalls	q0f=PD Faith	186.151050043629	37.2224829651817
19	1	Site_5	Reforma Waterfalls	q1=Exp Shannon	409.197021485792	230.028900979321
20	1	Site_5	Reforma Waterfalls	q2=Inv Simpson	86.779659010894	45.5904945362444
21	1	Site_6	Fossil Lagoon	q0=Observed	2064	384.666088965482
22	1	Site_6	Fossil Lagoon	q0f=PD Faith	171.802506565007	21.578384495596
23	1	Site_6	Fossil Lagoon	q1=Exp Shannon	545.260754298004	216.842017073392
24	1	Site_6	Fossil Lagoon	q2=Inv Simpson	152.091538018189	82.6626277366421
25	1	Site_7	Fossil Lagoon	q0=Observed	2284.5	330.218866814118
26	1	Site_7	Fossil Lagoon	q0f=PD Faith	181.972368321428	20.1242397372321
27	1	Site_7	Fossil Lagoon	q1=Exp Shannon	704.847774379413	89.8375404433901
28	1	Site_7	Fossil Lagoon	q2=Inv Simpson	198.055174190899	38.0958981256216
29	2	Site_1	Miguelito Dike	q0=Observed	3527.5	630.032142037214
30	2	Site_1	Miguelito Dike	q0f=PD Faith	239.67929954107	37.5659625665295
31	2	Site_1	Miguelito Dike	q1=Exp Shannon	1025.92115538889	143.111425413329
32	2	Site_1	Miguelito Dike	q2=Inv Simpson	331.030485914219	15.1644971267934
33	2	Site_2	Miguelito Dike	q0=Observed	3565.5	53.0330085889911
34	2	Site_2	Miguelito Dike	q0f=PD Faith	248.018427566123	9.291979969535
35	2	Site_2	Miguelito Dike	q1=Exp Shannon	1048.87991593719	100.644704626863
