Sample	q0	q1	q2	qf	ID	Depth	Depths	Site	Sample_type	Date	Location	Temp...C..int	Salnidad..ppm.int	Salinidad..ppt.int	pH.int	pHsup	Redox.medido.en.campo1	Redox.mV..Eh.int	Temperatura...C.sup	Salnidad..ppm.sup	Salinidad..ppt.sup	Redox.medido.en.campo	Redox.mV..Eh.sup	S.2..mg.l..campo	ml.de.muestra1	Factor.de.dilucion1	S.2..mg.l.	ID_M	SO.....mg.l..campo	ml.de.muestra2	Factor.de.dilucion2	SO.....mg.l.
1	S1A015	2267	581.022763480029	172.505723013881	171.957893368576	S1A	1	0-15	Site_1	Sediment	28/09/2023	Miguelito Dike	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
2	S1A1530	3082	924.726096013847	341.753404665859	213.116152668477	S1A	2	16-30	Site_1	Sediment	28/09/2023	Miguelito Dike	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
3	S1A3050	3234	926.028836562731	303.32358657576	228.080028462985	S1A	3	31-45	Site_1	Sediment	28/09/2023	Miguelito Dike	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
4	S1A5075	3506	879.583075142315	228.449140324118	238.566821699826	S1A	4	50-75	Site_1	Sediment	28/09/2023	Miguelito Dike	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
5	S1B07	3011	364.416570723542	62.9891762899595	224.67750700251	S1B	1	0-15	Site_1	Sediment	28/09/2023	Miguelito Dike	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
6	S1B2230	3973	1127.11621476392	320.30756716258	266.242446413663	S1B	2	16-30	Site_1	Sediment	28/09/2023	Miguelito Dike	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
7	S1B3040	2609	604.824610665095	165.327366593851	198.085328366025	S1B	3	31-45	Site_1	Sediment	28/09/2023	Miguelito Dike	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
8	S1B6575	3655	1110.09054214863	380.930512116488	254.183907799998	S1B	4	50-75	Site_1	Sediment	28/09/2023	Miguelito Dike	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
9	S2A1727	3603	1120.04646906936	401.25448103562	254.58884961323	S2A	2	16-30	Site_2	Sediment	28/09/2023	Miguelito Dike	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
10	S2A3545	4115	882.368237800579	151.919322484836	285.595660181859	S2A	3	31-45	Site_2	Sediment	28/09/2023	Miguelito Dike	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
11	S2A5060	4079	944.439875944003	196.280888619945	283.249348601522	S2A	4	50-75	Site_2	Sediment	28/09/2023	Miguelito Dike	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
12	S2A515	3687	1180.89462829653	369.647025931343	252.546295476578	S2A	1	0-15	Site_2	Sediment	28/09/2023	Miguelito Dike	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
13	S2B07	2596	701.767793364196	206.11212243571	195.47002110955	S2B	1	0-15	Site_2	Sediment	28/09/2023	Miguelito Dike	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
14	S2B1522	3528	977.713362805017	292.217889990576	241.448005519015	S2B	2	16-30	Site_2	Sediment	28/09/2023	Miguelito Dike	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
15	S2B3040	3574	517.054652366386	70.4156110867547	246.282431029599	S2B	3	31-45	Site_2	Sediment	28/09/2023	Miguelito Dike	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
