"Metric","Factor","Contrast","Estimate","SE","df","t.ratio","p.value"
"q0","Depths","(0-15) - (16-30)",-444.079,180.211,33.047,-2.464,"0.084647"
"q0","Depths","(0-15) - (31-45)",-698.78,181.685,33.113,-3.846,"0.002778"
"q0","Depths","(0-15) - (50-75)",-546.232,189.94,33.301,-2.876,"0.033568"
"q0","Depths","(16-30) - (31-45)",-254.701,179.716,33.024,-1.417,"0.497881"
"q0","Depths","(16-30) - (50-75)",-102.153,189.897,33.26,-0.538,"0.949117"
"q0","Depths","(31-45) - (50-75)",152.548,190.743,33.27,0.8,"0.854017"
"q1","Depths","(0-15) - (16-30)",-214.101,85.457,34.007,-2.505,"0.077038"
"q1","Depths","(0-15) - (31-45)",-165.456,85.457,34.007,-1.936,"0.232400"
"q1","Depths","(0-15) - (50-75)",-131.757,90.369,34.341,-1.458,"0.473193"
"q1","Depths","(16-30) - (31-45)",48.645,85.457,34.007,0.569,"0.940543"
"q1","Depths","(16-30) - (50-75)",82.344,90.369,34.341,0.911,"0.799010"
"q1","Depths","(31-45) - (50-75)",33.699,90.369,34.341,0.373,"0.982012"
"q2","Depths","(0-15) - (16-30)",-87.601,34.711,34.017,-2.524,"0.074041"
"q2","Depths","(0-15) - (31-45)",-31.888,34.711,34.017,-0.919,"0.795064"
"q2","Depths","(0-15) - (50-75)",-35.581,36.675,34.536,-0.97,"0.767124"
"q2","Depths","(16-30) - (31-45)",55.713,34.711,34.017,1.605,"0.389378"
"q2","Depths","(16-30) - (50-75)",52.021,36.675,34.536,1.418,"0.496759"
"q2","Depths","(31-45) - (50-75)",-3.692,36.675,34.536,-0.101,"0.999627"
"qf","Depths","(0-15) - (16-30)",-26.118,9.566,33.045,-2.73,"0.047178"
"qf","Depths","(0-15) - (31-45)",-41.517,9.644,33.109,-4.305,"0.000772"
"qf","Depths","(0-15) - (50-75)",-32.443,10.082,33.29,-3.218,"0.014539"
"qf","Depths","(16-30) - (31-45)",-15.399,9.539,33.023,-1.614,"0.384771"
"qf","Depths","(16-30) - (50-75)",-6.326,10.08,33.251,-0.628,"0.922467"
"qf","Depths","(31-45) - (50-75)",9.073,10.125,33.26,0.896,"0.806875"
"q0","Location","Fossil Lagoon - Reforma Waterfalls",-751.601,394.592,10.025,-1.905,"0.187460"
"q0","Location","Fossil Lagoon - Miguelito Dike",-395.811,334.576,10.149,-1.183,"0.488570"
"q0","Location","Reforma Waterfalls - Miguelito Dike",355.79,361.989,9.682,0.983,"0.603962"
"q1","Location","Fossil Lagoon - Reforma Waterfalls",-98.336,168.011,10.138,-0.585,"0.830867"
"q1","Location","Fossil Lagoon - Miguelito Dike",-23.65,142.567,10.29,-0.166,"0.984965"
"q1","Location","Reforma Waterfalls - Miguelito Dike",74.686,153.969,9.76,0.485,"0.879892"
"q2","Location","Fossil Lagoon - Reforma Waterfalls",-10.231,53.77,10.207,-0.19,"0.980276"
"q2","Location","Fossil Lagoon - Miguelito Dike",-1.721,45.734,10.44,-0.038,"0.999219"
"q2","Location","Reforma Waterfalls - Miguelito Dike",8.51,48.978,9.631,0.174,"0.983523"
"qf","Location","Fossil Lagoon - Reforma Waterfalls",-25.345,21.336,10.024,-1.188,"0.486174"
"qf","Location","Fossil Lagoon - Miguelito Dike",-10.993,18.089,10.144,-0.608,"0.819151"
"qf","Location","Reforma Waterfalls - Miguelito Dike",14.352,19.579,9.693,0.733,"0.750385"
