"Metric","Term","Estimate","Std.Error","Statistic","p_value"
"q0","(Intercept)",-5467.4819,2792.6561,-1.9578,0.0577
"q0","log(Effective_reads)",643.2254,232.7771,2.7633,0.0089
"q0","Depths16-30",444.4814,180.1601,2.4671,0.019
"q0","Depths31-45",699.0669,181.5878,3.8497,5e-04
"q0","Depths50-75",547.0455,189.7018,2.8837,0.0069
"q0","LocationReforma Waterfalls",752.0996,394.6807,1.9056,0.0863
"q0","LocationMiguelito Dike",396.382,334.6284,1.1845,0.2637
"q1","(Intercept)",596.1537,121.8964,4.8907,2e-04
"q1","Depths16-30",214.1012,85.4573,2.5054,0.0172
"q1","Depths31-45",165.4559,85.4573,1.9361,0.0612
"q1","Depths50-75",131.7567,90.2583,1.4598,0.1534
"q1","LocationReforma Waterfalls",98.3362,167.9714,0.5854,0.5709
"q1","LocationMiguelito Dike",23.6504,142.521,0.1659,0.8714
"q2","(Intercept)",166.9387,41.1582,4.056,7e-04
"q2","Depths16-30",87.6015,34.711,2.5237,0.0164
"q2","Depths31-45",31.8883,34.711,0.9187,0.3647
"q2","Depths50-75",35.5806,36.6064,0.972,0.3378
"q2","LocationReforma Waterfalls",10.2314,53.7388,0.1904,0.8527
"q2","LocationMiguelito Dike",1.7215,45.6974,0.0377,0.9706
"qf","(Intercept)",-152.2627,148.4313,-1.0258,0.3116
"qf","log(Effective_reads)",28.2289,12.3703,2.282,0.0284
"qf","Depths16-30",26.1354,9.563,2.733,0.01
"qf","Depths31-45",41.5295,9.639,4.3085,1e-04
"qf","Depths50-75",32.4791,10.0702,3.2253,0.0028
"qf","LocationReforma Waterfalls",25.3673,21.34,1.1887,0.2625
"qf","LocationMiguelito Dike",11.0187,18.091,0.6091,0.5561
