"Metric","Factor","Level","emmean","SE","df","lower.CL","upper.CL","Significance"
"q0","Depths","0-15",2699.208,186.255,22.19,2313.131,3085.286,"a"
"q0","Depths","16-30",3143.287,184.425,21.612,2760.414,3526.16,"ab"
"q0","Depths","50-75",3245.44,195.554,25.325,2842.952,3647.928,"b"
"q0","Depths","31-45",3397.988,184.129,21.517,3015.632,3780.344,"b"
"q1","Depths","0-15",636.816,81.793,24.692,468.254,805.378,"a"
"q1","Depths","50-75",768.573,87.119,28.653,590.301,946.844,"a"
"q1","Depths","31-45",802.272,81.793,24.692,633.71,970.834,"a"
"q1","Depths","16-30",850.917,81.793,24.692,682.355,1019.479,"a"
"q2","Depths","0-15",170.923,29.184,32.371,111.505,230.341,"a"
"q2","Depths","31-45",202.811,29.184,32.371,143.393,262.23,"a"
"q2","Depths","50-75",206.504,31.586,36.229,142.457,270.55,"a"
"q2","Depths","16-30",258.524,29.184,32.371,199.106,317.943,"a"
"qf","Depths","0-15",201.473,10.005,21.754,180.709,222.236,"a"
"qf","Depths","16-30",227.59,9.909,21.188,206.994,248.186,"b"
"qf","Depths","50-75",233.916,10.493,24.816,212.296,255.536,"b"
"qf","Depths","31-45",242.989,9.894,21.096,222.42,263.558,"b"
"q0","Location","Fossil Lagoon",2739.01,262.038,10.58,2159.461,3318.559,"a"
"q0","Location","Miguelito Dike",3134.821,209.228,9.721,2666.815,3602.828,"a"
"q0","Location","Reforma Waterfalls",3490.611,295.647,9.692,2829.019,4152.203,"a"
"q1","Location","Fossil Lagoon",723.982,111.46,10.648,477.669,970.296,"a"
"q1","Location","Miguelito Dike",747.633,88.894,9.76,548.902,946.363,"a"
"q1","Location","Reforma Waterfalls",822.318,125.715,9.76,541.27,1103.366,"a"
"q2","Location","Fossil Lagoon",205.706,35.944,10.988,126.584,284.828,"a"
"q2","Location","Miguelito Dike",207.428,28.277,9.631,144.093,270.763,"a"
"q2","Location","Reforma Waterfalls",215.938,39.99,9.631,126.369,305.507,"a"
"qf","Location","Fossil Lagoon",214.379,14.161,10.56,183.051,245.707,"a"
"qf","Location","Miguelito Dike",225.373,11.316,9.731,200.063,250.682,"a"
"qf","Location","Reforma Waterfalls",239.724,15.991,9.702,203.946,275.503,"a"
