"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1157","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"ASV_2508","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"ASV_7072","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"ASV_3541","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"ASV_2759","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_methanogenic"
"ASV_2092","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_methanogenic"
"ASV_1464","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"ASV_7156","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_euryarchaeote"
"ASV_3311","Fossil Lagoon","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae","uncultured_archaeon"
"ASV_6008","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8","uncultured_bacterium"
"ASV_4693","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8","uncultured_bacterium"
"ASV_6214","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8","uncultured_bacterium"
"ASV_2646","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group","uncultured_bacterium"
"ASV_2730","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group","uncultured_bacterium"
"ASV_2136","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Z195MB87","uncultured_planctomycete"
"ASV_6108","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","AKAU3564_sediment_group","AKAU3564_sediment_group","uncultured_planctomycete"
"ASV_4765","Fossil Lagoon","d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage","metagenome"
"ASV_2434","Fossil Lagoon","d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage","uncultured_planctomycete"
"ASV_6252","Fossil Lagoon","d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage",NA
"ASV_2845","Fossil Lagoon","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"ASV_737","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae","uncultured_bacterium"
"ASV_1137","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae","uncultured_bacterium"
"ASV_3160","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae","uncultured_actinobacterium"
"ASV_1538","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_delta"
"ASV_2333","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_delta"
"ASV_2263","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_1502","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_5429","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_2953","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_5893","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_995","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_Latescibacteria"
"ASV_1398","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_Latescibacteria"
"ASV_3428","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_5614","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_soil"
"ASV_3798","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_soil"
"ASV_4556","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_soil"
"ASV_4098","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_5504","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_soil"
"ASV_2100","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_1512","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_2731","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_3857","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_3683","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_1577","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_4800","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_5066","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV_2323","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_3397","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"ASV_1641","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_prokaryote"
"ASV_4801","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_prokaryote"
"ASV_2557","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_prokaryote"
"ASV_6348","Fossil Lagoon","d__Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea","uncultured_organism"
"ASV_235","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin118","uncultured_bacterium"
"ASV_2858","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured","uncultured_bacterium"
"ASV_4360","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV_2066","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin118","uncultured_bacterium"
"ASV_1574","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae","uncultured","uncultured_bacterium"
