id	SampleID	Collection_date	depth	ID	Environmental_medium	Geographic Location	Study_zone	Ecological_type	season
SRR9973307	SRR9973307	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973308	SRR9973308	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973311	SRR9973311	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973312	SRR9973312	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973313	SRR9973313	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973314	SRR9973314	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973316	SRR9973316	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973317	SRR9973317	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973318	SRR9973318	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973319	SRR9973319	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973320	SRR9973320	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973321	SRR9973321	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973322	SRR9973322	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973323	SRR9973323	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973324	SRR9973324	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973325	SRR9973325	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973326	SRR9973326	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973327	SRR9973327	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973328	SRR9973328	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973329	SRR9973329	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973330	SRR9973330	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973331	SRR9973331	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973332	SRR9973332	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973333	SRR9973333	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973334	SRR9973334	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973335	SRR9973335	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973336	SRR9973336	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Dwarf	flood
SRR9973337	SRR9973337	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973338	SRR9973338	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973339	SRR9973339	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973340	SRR9973340	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973341	SRR9973341	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973342	SRR9973342	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973343	SRR9973343	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973344	SRR9973344	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
SRR9973345	SRR9973345	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973346	SRR9973346	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Basin	flood
SRR9973347	SRR9973347	2018-10-04	0.15		sediment	Mexico:Yucatan	Celestún	Fringe	flood
S1A015	S1A015	2023-09-28	0-15	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1A1530	S1A1530	2023-09-28	16-30	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1A3050	S1A3050	2023-09-28	31-45	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1A5075	S1A5075	2023-09-28	50-70	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1B07	S1B07	2023-09-28	0-15	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1B2230	S1B2230	2023-09-28	16-30	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1B3040	S1B3040	2023-09-28	31-45	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S1B6575	S1B6575	2023-09-28	50-70	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2A515	S2A515	2023-09-28	0-15	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2A1727	S2A1727	2023-09-28	16-30	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2A3545	S2A3545	2023-09-28	31-45	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2A5060	S2A5060	2023-09-28	50-70	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2B07	S2B07	2023-09-28	0-15	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2B1522	S2B1522	2023-09-28	16-30	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S2B3040	S2B3040	2023-09-28	31-45	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
